S_CTUID,NAABORI100,NAOTHER100,BRTISLE100,FRNH100,WESTEUR100,NORTEUR100,EASTEUR100,SOUTEUR100,CARIB100,LCSA100,CWAFRI100,NORTAFR100,SEAFR100,WAME100,SOUTASI100,SEASIA100,OCEANIC100
5350190.02,4251,22210,26142,6695,7226,1700,10733,16578,9033,5207,2657,319,2125,2019,9989,18597,213
5350191,3271,21262,36098,6075,11449,1986,8879,25117,6308,3271,350,234,701,2570,5374,11916,0
5350192,4918,13115,28415,6557,2186,0,8743,30601,7104,1639,0,4372,1093,6011,3279,18579,0
5350193,2012,9288,21981,3406,5418,310,8978,42570,2012,2012,774,310,0,12074,12693,6502,310
5350194.01,349,4629,2358,786,611,0,4803,1921,961,2009,0,1135,1834,19563,61921,4279,0
5350194.02,347,6858,10069,1563,2604,868,3385,4167,2344,955,521,2170,2431,16059,52951,3385,174
5350194.03,1604,5348,7843,1426,1961,535,4635,7843,7130,2317,357,2139,5526,4813,25847,28699,0
5350194.04,687,8092,13664,2290,4122,458,6031,10305,2214,2290,305,1450,992,16412,33969,16489,0
5350195.01,2581,23008,52974,9315,16835,2581,14029,18631,1235,3479,0,449,561,2581,3479,14590,449
5350195.02,1471,22689,55462,8403,11975,4622,13445,16387,2941,2101,420,840,0,3782,2311,13866,840
5350196.01,1340,25469,52815,8311,13137,2949,12869,13673,804,2949,0,536,0,5094,1609,13941,536
5350196.02,1172,27683,64923,8115,14698,5050,12894,12534,1984,1443,0,180,721,2885,3246,5591,992
5350200.01,1707,14555,28122,6199,8176,1527,24438,15004,3953,3055,809,629,2156,3863,3863,11231,180
5350200.02,4348,20290,42995,12077,13527,4348,14010,14493,4831,3382,1932,966,1449,1932,4831,9662,966
5350201,2392,16375,30543,7636,8464,2024,21343,16559,4232,4600,552,460,552,2576,6256,16467,276
5350202,1208,22961,41390,11480,12991,1813,24471,19335,3021,1208,0,906,0,3021,1511,10876,0
5350203,2555,19932,38330,7155,10903,2044,22317,16865,3237,3066,511,0,511,3066,3578,13629,852
5350204,2928,23753,47831,12364,15944,3362,21800,15076,5857,2278,217,542,1627,2061,4881,7918,759
5350205,,,,,,,,,,,,,,,,,
5350206.01,2657,21618,34420,5314,11594,2053,28140,14251,4106,2415,0,362,604,1691,3502,10024,0
5350206.02,2869,23207,37553,9114,13418,1603,23038,16203,5738,4473,422,169,1013,3291,3966,8945,338
5350207,2947,20825,30452,6287,9627,1965,14538,15324,5894,6090,393,0,1965,2554,7269,18075,393
5350208,2909,15758,22788,4364,7030,970,19636,13091,12364,4121,3152,1576,5818,2303,5697,11394,0
5350209,4406,19349,30460,7471,9962,575,22222,20115,4023,3065,383,383,1149,1149,3640,12835,1341
5350210.01,375,17978,21161,4494,6367,1311,16854,28090,1873,4682,562,375,1498,1498,8801,21161,375
5350210.02,1052,13284,28058,5042,9206,2104,16046,21876,4165,5480,1008,1184,1096,4954,7672,14687,88
5350211,1814,17902,26814,6940,7650,1104,20662,30915,2603,2366,237,473,789,1420,6073,11356,0
5350212,3342,21460,39402,7300,11697,2814,19437,24362,3254,2902,0,264,880,2023,3342,10114,0
5350213.01,940,15414,24248,8083,8271,376,27068,27444,2444,1316,0,752,752,2256,7143,11466,0
