S_CTUID,58,59,60,63,64,65,81,83,87,88,89,90,1617,1618,1619,1620,1667,1668,1669
5350368.01,1.9,6270,2975,3300,2470,155,1415,535,350,265,70,20,3570,2230,1340,0,3540,1635,1900
5350033,1.7,4525,1220,3300,2420,205,545,190,300,185,70,45,2690,350,2335,0,2685,1585,1100
5350311.05,2.6,5720,2435,3290,2475,230,1130,675,540,325,150,65,2570,820,1750,0,2565,1320,1245
5350574,1.8,5950,2655,3290,1780,320,1300,515,375,280,80,15,3505,1505,2000,0,3505,2100,1400
5350169.02,2.3,6460,3175,3285,2185,215,1530,915,495,330,130,30,3170,1225,1940,0,3155,2025,1135
5350450.03,2.7,7270,3990,3280,2075,185,1915,1160,420,230,145,40,2915,2460,455,0,2905,2230,675
5350050.01,2,7580,4295,3280,2210,210,2110,950,320,230,80,15,4340,3020,1325,0,4335,2995,1340
5350317.02,2.2,6535,3280,3255,1615,250,1535,750,465,335,110,20,3340,925,2415,0,3330,1505,1820
5350133,2.1,6310,3070,3235,2090,190,1475,815,360,255,85,20,3470,835,2635,0,3470,2075,1390
5350311.06,2.5,5065,1845,3225,2735,145,855,425,320,165,95,60,2350,1040,1305,0,2345,1185,1165
5350586.01,3.5,9810,6605,3200,2400,185,3250,2185,395,205,130,55,3655,3410,245,0,3635,2730,910
5350034.02,1.6,4860,1660,3200,2640,125,785,190,190,125,50,15,3025,1005,2020,0,3020,1575,1445
5350403.07,3.4,9470,6280,3190,2335,130,3040,2225,485,305,145,35,3545,3300,240,0,3535,1975,1560
5350335,2.6,6490,3340,3150,2050,230,1620,1045,450,275,125,50,2985,1475,1510,0,2985,1905,1075
5350297.01,2.4,6330,3195,3140,1820,205,1530,845,420,285,100,35,3025,1380,1645,0,3030,1770,1255
5350190.01,2.6,7255,4125,3130,2230,200,1960,1355,405,270,100,30,3505,1295,2210,0,3510,1840,1665
5350031,2.3,5195,2070,3125,2280,215,970,605,460,240,125,95,2735,385,2350,0,2735,1730,1005
5350378.03,3,6275,3165,3115,2275,200,1510,1010,545,330,145,65,2435,1865,565,0,2435,1580,855
5350280,2.5,6075,2955,3110,2030,280,1415,870,615,375,180,60,2920,1000,1920,0,2920,1760,1160
5350185.01,2,5900,2800,3105,2115,215,1360,680,405,270,115,20,3390,880,2505,0,3385,2000,1380
5350371,2.9,6520,3425,3095,2050,165,1640,1005,420,260,100,55,2570,1920,650,0,2570,1735,835
5350528.25,3,6530,3445,3080,2060,195,1655,1140,440,265,130,45,2485,1805,675,0,2485,1720,760
5350063.03,1.5,4940,1895,3040,2585,95,905,165,115,90,25,5,3360,895,2465,0,3350,1780,1570
5350528.1,3.6,7410,4380,3030,2360,135,2125,1500,345,185,110,50,2460,1975,490,0,2460,1785,675
5350098,2.4,6100,3070,3030,2145,195,1495,805,395,265,100,30,3005,1480,1520,0,2990,1975,1020
5350037,2,4210,1185,3030,2525,85,540,230,165,120,30,15,2120,510,1610,0,2115,975,1140
5350307.04,2.1,6340,3305,3025,2235,130,1550,775,350,245,80,25,3340,1645,1695,0,3330,1595,1735
5350245,2.7,5795,2775,3020,2060,205,1335,830,595,345,180,75,2590,1280,1315,0,2590,1705,885
5350175.01,2.4,5010,1990,3020,1950,240,900,535,585,340,155,95,2435,1035,1400,0,2435,1385,1050
5350029,2.3,5995,2985,3005,2160,170,1445,715,375,225,115,40,2950,1690,1260,0,2935,1975,960
5350250.05,3.4,5950,2970,2980,2155,220,1410,1075,555,290,145,120,2285,885,1395,0,2280,1235,1045
5350279.02,2.7,5645,2670,2980,1660,185,1225,780,405,255,115,35,2115,1265,850,0,2115,1475,645
5350363.06,2.2,6300,3330,2965,1975,195,1585,780,500,370,110,15,3325,2255,1075,0,3325,1750,1570
5350424.14,3.5,9870,6920,2945,2245,155,3405,2610,380,205,140,40,3820,3595,225,0,3810,2465,1350
5350180,2.3,5475,2545,2930,1970,225,1205,680,490,320,130,40,2765,765,2005,0,2765,1660,1105
5350312.03,3,5220,2300,2920,1940,225,1090,705,705,390,195,125,2170,1125,1050,0,2165,1410,755
5350137,2,6095,3175,2920,2055,145,1560,765,245,160,65,20,3510,1490,2015,0,3505,2260,1250
5350378.28,3.7,6035,3120,2915,2195,175,1505,1085,485,215,170,105,1925,1545,375,0,1925,1330,600
5350480.02,3.2,8475,5560,2915,1925,215,2715,1860,385,205,135,45,3360,2960,395,0,3360,2415,945
5350263.04,1.8,5905,2990,2915,1490,220,1435,505,335,260,65,10,3500,1530,1970,0,3495,2135,1360
5350378.07,3.1,6125,3235,2885,1935,135,1490,945,455,265,120,65,2245,1590,655,0,2235,1440,800
5350236.01,2.6,5700,2825,2880,1810,205,1350,815,495,305,110,80,2520,1775,745,0,2515,1705,810
5350261,2.4,4785,1910,2875,1655,205,885,540,480,275,130,75,2195,1215,975,0,2195,1350,845
5350034.01,1.8,4345,1475,2870,2570,50,670,195,100,75,25,0,2340,970,1370,0,2330,1205,1120
5350576.24,4.3,8330,5465,2865,2280,95,2640,1845,250,125,85,45,2415,2315,100,0,2410,1635,775
5350248.02,3.1,4340,1475,2865,2015,265,685,495,640,205,170,265,1785,555,1230,0,1785,1270,520
5350167.02,1.9,5170,2300,2865,2100,175,1115,470,290,205,65,20,2980,550,2430,0,2970,1760,1215
5350401.22,3.3,7255,4400,2860,1845,105,2070,1360,355,200,120,35,2475,2155,315,0,2470,1565,905
5350309,2.7,5470,2610,2860,1810,210,1200,760,500,310,140,50,2295,300,1995,0,2285,1295,990
5350292,3,5450,2600,2855,1950,245,1220,820,570,305,165,105,2245,1230,1020,0,2240,1400,845
5350375.05,2.8,6250,3410,2845,1785,150,1570,1010,385,265,95,25,2420,1285,1130,0,2420,1605,815
5350369,3.3,6360,3530,2835,1985,205,1680,1145,460,255,120,85,2440,1430,1005,0,2440,1635,800
5350154,2.2,5405,2570,2830,1690,190,1250,640,435,295,105,35,2850,2060,790,0,2845,1865,985
5350401.09,3.1,7295,4475,2825,2180,100,2140,1400,385,240,120,25,2735,2365,375,0,2710,1705,1005
5350375.01,2.3,5530,2710,2825,1615,215,1300,705,480,320,115,45,2765,1125,1635,0,2750,1530,1220
5350412.19,3.5,7475,4650,2820,2155,135,2300,1750,365,190,125,50,2710,2545,170,0,2710,2135,570
5350099,2,5655,2835,2820,2020,165,1375,680,275,205,65,10,3255,1105,2145,0,3245,1985,1260
5350243.01,3.1,5125,2310,2815,1845,230,1045,645,510,220,115,180,2140,1365,780,0,2140,1175,970
5350054,2.1,5170,2355,2815,2180,155,1145,495,245,180,55,5,2745,775,1970,0,2745,1520,1225
