S_CTUID,1871,1872,1930,1931,1932,1933,1937,1938,1939,1940,1941,1942
5350063.06,66.6,9.2,2990,380,30,1250,2990,590,1240,670,215,275
5350064,73.7,7.2,2695,460,45,1160,2690,350,1020,790,275,255
5350065.01,71.8,9.1,1515,100,30,980,1515,170,510,440,205,195
5350065.02,52.6,12.5,5010,730,65,3090,5015,485,1460,1590,635,850
5350066,64.5,8.7,3940,625,55,1510,3940,525,1670,1060,360,330
5350067,67.2,7.4,860,280,50,220,860,145,320,275,55,60
5350068,68,6.4,1255,390,15,280,1255,230,480,365,95,85
5350069,69.2,5.2,2450,940,75,850,2450,285,935,765,270,200
5350070,69.9,6.2,1785,460,60,890,1785,215,620,620,205,130
5350071,69.8,4.4,1640,540,40,595,1640,270,585,535,155,100
5350072.01,56.2,9.7,1880,570,60,910,1875,205,550,640,270,210
5350072.02,64.3,6.9,1500,505,55,695,1500,140,415,565,245,125
5350073,60,7.8,1185,420,70,495,1180,125,335,375,165,185
5350074,62.1,8.2,1830,575,30,855,1830,180,440,585,305,325
5350075,63.3,7.2,1900,705,105,875,1895,145,495,785,310,165
5350076,64,7.3,2190,805,50,1055,2190,170,510,800,420,290
5350077,68.1,7.8,2160,925,70,845,2155,160,535,775,420,265
5350078,64.1,8.6,2820,1255,105,1120,2815,305,740,850,525,395
5350079,68.9,5.7,3505,1725,145,1235,3500,410,830,1165,700,400
5350080.01,67.6,5.7,1665,630,65,830,1665,150,390,580,355,195
5350080.02,55.6,13.8,2060,535,50,1225,2060,205,380,730,445,300
5350081,69.3,4.5,1460,485,65,735,1455,155,350,530,265,160
5350082,66.1,6.7,1315,480,55,615,1315,120,340,555,205,95
5350083,59.6,7.3,1840,580,35,940,1840,160,595,780,185,125
5350084,66.7,7.3,1705,485,35,865,1700,210,555,625,185,130
5350085,68.3,5.7,2155,625,70,1115,2155,175,765,775,250,180
5350086,63.4,8.2,1000,585,20,275,1000,165,440,280,75,35
5350087,54.8,5.7,2030,895,85,625,2035,375,985,425,145,95
5350088,59.8,5.8,1555,320,25,720,1560,280,595,385,135,155
5350089,59.6,4.8,1735,570,70,570,1735,390,775,340,175,60
5350090,62.6,5.4,1960,520,35,740,1960,395,815,475,175,105
5350091.01,62.2,7.6,2615,530,25,1095,2615,520,1125,590,215,160
5350091.02,66.7,8,1870,365,50,830,1870,235,765,570,155,140
5350092,72.4,7.7,4030,720,60,1920,4030,460,1735,1145,430,260
5350093,67.2,5.8,2700,585,50,1045,2695,330,1045,880,260,180
5350094,65.4,6.8,2525,790,90,1010,2530,265,795,855,355,255
5350095,67.7,4.9,1785,455,55,815,1785,145,560,615,235,225
5350096.01,57,7.6,780,225,15,350,775,75,250,245,110,95
5350096.02,62.4,7.7,1670,390,55,820,1670,145,460,605,250,210
5350097.01,65.6,7.8,2055,480,95,1035,2055,225,640,725,245,220
5350097.03,47.9,12.6,490,115,20,295,490,15,115,150,125,85
5350097.04,68.5,7.4,3105,1040,165,1490,3105,245,760,1115,535,450
5350098,64.4,6.5,3600,1145,145,1725,3600,205,985,1305,605,495
5350099,69.3,7.6,3520,1110,75,1890,3520,265,975,1340,590,360
5350100,71.8,6.1,1515,515,35,725,1515,105,310,650,305,140
5350101,74,5.3,1815,725,50,740,1815,200,450,600,330,240
5350102.02,64.6,7.6,2280,590,40,1450,2285,145,410,980,490,255
5350102.03,70.1,7.7,2110,660,50,1200,2110,95,405,850,490,265
5350102.04,68.6,5.3,305,110,10,155,305,20,105,85,60,30
5350102.05,68.1,5.2,390,135,10,190,390,50,55,155,95,35
5350103,64.3,6,2745,1060,50,1375,2745,195,560,1150,590,240
5350104,68.9,4.9,2595,1120,65,1135,2590,215,515,995,595,265
5350105,68.1,5.4,2275,795,55,1025,2270,285,395,725,635,235
5350106,66.9,5.9,1975,825,145,845,1980,175,355,625,430,395
5350107,59.9,6.8,2485,1030,215,1040,2485,160,505,795,485,540
5350108,56.3,9.9,2700,1040,200,1160,2700,275,520,965,465,470
5350109,69.3,7.8,3080,1185,180,1410,3080,230,770,1050,595,440
5350110,65.7,6.3,1930,860,105,755,1930,215,410,660,420,225
5350111,56.9,8.3,1165,535,140,420,1170,50,225,360,205,325
5350112,61.8,7.1,2695,1095,180,1140,2695,160,490,1035,515,485
5350113,68.2,7.8,1465,490,75,705,1465,105,420,555,200,180
5350114,61.7,4.7,2335,780,75,1080,2335,215,655,725,425,305
5350115,64,6.4,2035,715,75,830,2035,175,565,835,230,235
5350116,72.1,4.7,2225,695,45,1095,2220,195,800,795,260,180
5350117,66.6,6.9,1050,365,40,390,1050,105,480,275,150,35
5350118,61,6.1,1885,740,35,770,1885,260,710,680,170,70
5350119,62.6,6.8,2155,935,55,810,2155,285,785,715,260,115
5350120,67.4,3.8,630,215,20,245,635,75,335,135,35,50
5350121,62.1,6.6,1170,410,45,575,1165,170,550,295,70,80
5350122,63.3,4.5,3090,1070,75,1450,3095,450,1010,1110,295,220
5350123,72.6,9.4,1455,355,15,900,1455,85,370,655,230,110
5350124,60.5,6.8,2505,610,60,1385,2505,385,1045,650,205,220
5350125,64.5,4.3,1920,1020,110,525,1915,345,850,475,140,105
5350126,66.3,7.1,1840,940,95,610,1845,225,665,620,235,95
5350127,68.5,5.7,2505,1180,95,885,2505,325,730,920,320,205
5350128.02,70.2,6.1,4775,1385,95,2685,4775,525,1405,1805,620,425
5350128.04,68.1,6.1,2590,840,60,1365,2590,195,900,965,330,205
5350128.05,74.1,3.3,390,110,10,190,385,65,110,150,50,15
5350128.06,71.1,8,2530,515,20,1725,2530,150,740,1010,335,290
