S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350513.03,76651,23188,25604,805,4509,12077,1932,7085,3060,2093,1288,0
5350012.01,76698,23302,8040,17842,8598,2279,2709,2923,1376,3052,1677,860
5350080.02,76714,23286,24292,7190,12200,7516,1089,1416,1089,1961,1089,218
5350063.03,76784,23216,9457,12072,2314,3823,2817,2716,1006,3018,1811,1006
5350576.2,76952,23123,66467,1575,14029,1425,1200,150,2176,225,0,0
5350377.07,76989,23011,7957,75054,5591,2688,215,860,1183,0,0,215
5350511.01,77011,23071,18522,1381,10804,6011,1787,10398,3006,3493,894,162
5350363.06,77013,23056,25877,33379,7364,7571,1514,826,757,3372,1032,413
5350317.04,77128,22796,2053,2053,4943,19087,2205,684,304,3954,4867,152
5350401.18,77217,22783,7567,62815,4068,814,1058,1709,1139,1139,1871,163
5350376.05,77299,22774,3504,84672,365,1460,0,146,949,657,511,511
5350305.03,77497,22503,4435,20867,2218,3125,1915,2218,907,10685,10484,1512
5350249.04,77730,22270,47270,287,12931,1437,5316,2443,1293,2443,0,0
5350037,77882,22118,6824,34000,2941,2235,1882,1765,3412,1176,1765,941
5350304.06,77998,22088,11724,35862,4397,4052,1466,2931,1552,6207,3707,345
5350321.01,78368,21762,1813,26295,907,6477,1425,777,259,21244,7642,648
5350291.04,78395,21605,3086,2160,9259,22840,9568,926,617,1235,0,0
5350563.01,78480,21595,48947,677,19850,3985,2556,2256,602,2030,0,150
5350034.01,78545,21455,12848,22424,4242,1333,2061,3152,1455,2182,2303,364
5350512,78559,21441,14146,1690,6317,11032,3648,5605,2758,2313,534,356
5350159.02,78678,21322,7249,1493,7143,6823,5970,213,1173,213,0,213
5350376.08,78695,21222,23388,42314,3223,7273,744,1736,826,579,579,0
5350529.02,78714,21286,59933,1221,12098,999,1443,333,0,0,0,0
5350528.21,78716,21403,49822,1546,11534,9394,2854,713,1427,476,0,0
5350402.12,78763,21237,4933,63796,1505,2258,585,836,1254,8863,3261,334
5350012.03,78788,21269,15371,16857,2971,2229,2743,3257,743,1943,2343,629
5350363.05,78795,21094,35978,7598,27598,5363,2011,1788,1006,2346,335,0
5350169.01,78805,21053,5128,2422,9402,32336,3846,0,1709,285,855,855
5350312.05,78837,21163,7302,2104,47030,3342,11015,1238,7426,371,0,0
5350377.01,78950,21105,12258,52844,4970,4914,773,1325,939,2761,939,166
5350243.01,78995,21005,29756,1750,38432,1750,1294,1294,1979,1522,533,0
5350532.01,79045,20955,61234,582,15832,0,2561,0,0,698,0,0
5350378.02,79077,21077,32769,35538,6308,1846,1846,1077,308,2000,308,308
5350281.02,79087,20913,2028,507,47655,2788,9379,0,5703,634,0,253
5350401.19,79161,20767,7531,72194,4272,4272,0,1303,1738,0,145,217
5350175.02,79306,20694,4453,1703,45252,3274,7859,1048,1703,1244,393,327
5350377.04,79310,20690,9840,71320,5467,2944,589,1009,252,168,421,0
5350530.02,79350,20813,54797,0,16423,650,1626,0,488,1138,0,0
5350400.18,79394,20404,34141,41010,6869,2020,1616,0,404,0,7071,0
5350378.22,79438,20562,8136,77959,2367,3994,0,296,592,0,0,0
5350576.46,79506,20403,63004,1740,10623,3205,2381,0,1740,0,0,0
5350374.03,79564,20551,15499,31458,6659,12285,918,1837,1033,230,918,230
5350376.09,79581,20419,7435,73822,2304,2513,314,524,419,209,314,314
5350516.41,79686,20314,38361,8980,5405,6364,785,11770,1831,1656,1046,0
5350324.05,79756,20091,6393,58447,2283,1522,761,1218,609,3501,3653,304
5350355.04,79799,20201,23216,2211,20704,17286,2714,0,1307,2714,302,704
5350378.21,79851,20149,9950,71891,4975,2985,0,622,373,249,0,0
5350324.06,79883,19971,14140,46210,3061,2041,1749,2187,437,2478,4519,583
5350375.03,79885,20115,25958,20211,11877,9770,1916,1341,670,2395,1437,287
5350319,79975,20025,3094,12624,1609,6064,1609,1361,371,12005,13243,1485
5350162,79979,20021,3818,4334,13209,7843,6398,0,2786,619,619,516
5350272.01,80000,20000,13333,4388,17890,15865,4135,4810,1097,4473,1688,338
5350376.14,80159,19841,3841,76026,3046,3046,0,795,530,1192,397,265
5350284,80182,19894,13238,681,5976,14902,7413,530,2269,151,151,303
5350322.02,80265,19569,5482,30897,498,831,1661,1661,498,11130,14950,332
5350225.02,80297,19756,12553,3867,14831,3814,3761,1854,583,1377,5932,477
5350291.03,80346,19654,1940,2802,8621,14009,7112,2371,2802,2155,0,0
5350526.02,80460,19397,21264,7328,5316,5172,3017,2443,2443,718,0,431
5350376.13,80541,19459,7345,74485,2577,2062,0,902,1289,0,258,0
5350531.02,80558,19367,46833,452,19231,2489,3922,1207,679,754,0,0
5350295,80594,19505,6330,3165,8210,18299,7319,593,9100,1583,198,396
5350169.02,80643,19289,1778,1710,7798,17989,8140,479,1026,410,1026,274
5350377.02,80671,19444,8102,58565,3588,4167,694,579,347,1157,231,347
5350316.05,80673,19327,14819,1993,33624,3362,11208,1619,11083,1494,249,249
5350400.17,80679,19321,50000,31316,8174,3079,0,0,637,425,0,0
5350063.06,80736,19264,9487,9293,2517,2130,2904,290,1162,678,2227,774
5350576.67,80779,19159,67367,742,18727,989,2287,371,494,124,0,0
5350576.4,80779,19221,70101,1068,11369,2638,1570,314,1256,691,0,0
5350280,80782,19218,9197,686,16472,8030,14894,686,1922,824,0,0
5350570.01,80835,19320,17774,1855,27048,3246,2009,1855,927,1082,0,309
5350248.04,80912,19088,43690,3818,25451,3712,1379,424,2015,318,318,212
5350531.01,80935,18945,41727,240,24700,3118,1679,0,1559,0,0,0
5350349,80990,19010,12250,2085,14075,21199,4431,1738,1651,1825,348,261
5350516.04,81010,18990,20753,2083,10337,5208,3606,5128,1122,1683,881,0
