S_CTUID,YCanCit100,NCanCit100,VM_SASN100,VM_CHIN100,VM_BLCK100,VM_FILI100,VM_LAMR100,VM_ARAB100,VM_SEAS100,VM_WASN100,VM_KORN100,VM_JAPA100
5350528.18,85286,14714,29136,9810,7540,6881,1611,4100,4612,878,952,366
5350520.05,85290,14575,20676,3514,12027,10000,3378,6892,1892,1081,1081,270
5350576.42,85341,14620,44097,1228,19453,6141,1743,1387,1545,1070,79,0
5350576.05,85348,14652,34531,3299,13710,4472,3079,587,1246,1100,0,0
5350274.02,85358,14642,4673,21080,2388,831,1869,1246,312,5296,5400,727
5350038,85373,14627,2113,36620,3239,1690,1831,704,2676,704,704,1549
5350243.02,85386,14614,13396,3518,18268,4330,6360,2300,2165,541,812,271
5350403.05,85427,14573,6643,57414,356,1542,237,1305,0,0,356,1186
5350576.53,85436,14564,41972,1606,21560,8945,2179,229,344,688,0,0
5350163,85457,14656,2593,5862,9470,3833,7441,676,789,1917,789,676
5350612.24,85464,14599,16667,15977,940,1942,1566,5388,815,501,3571,313
5350564.02,85475,14525,25392,1045,18809,7628,6270,1463,2403,418,0,209
5350571.01,85478,14522,13503,1401,27771,1274,1783,637,1783,255,255,0
5350180,85546,14454,13904,3221,13904,4556,1414,550,1100,1650,1493,314
5350378.06,85549,14368,45868,5207,17107,15041,1570,0,496,1983,248,0
5350612.15,85633,14367,11151,6719,3860,1501,5289,7648,500,1358,1716,500
5350401.2,85633,14253,22717,61301,2169,3082,457,0,2055,913,0,342
5350107,85728,14272,3248,2461,7283,3839,7087,689,4823,197,197,394
5350528.1,85730,14213,33897,10829,7219,4907,2764,4174,4061,1466,395,169
5350528.45,85740,14171,22014,11586,16756,7130,1248,4545,4545,446,891,267
5350576.45,85740,14260,54234,0,20180,3063,1802,2162,721,541,0,0
5350376.15,85772,14228,8266,70325,1762,1491,271,2033,271,949,407,407
5350270.01,85799,14201,6852,7746,9235,7150,2185,4270,298,4667,2085,596
5350562.05,85802,14109,17901,2910,12257,7143,4586,1323,1764,2116,0,441
5350011,85850,14122,8211,12690,3216,1780,1837,1349,1206,2182,1780,603
5350528.41,85852,14148,51511,4695,8167,6817,1222,2122,3537,450,129,193
5350298,85895,14000,737,2211,2947,12421,1158,211,421,2105,1053,0
5350167.02,85913,14000,3481,2176,6266,12794,5222,1044,261,696,1480,1218
5350516.3,85930,14154,27638,23786,1005,1256,1926,9548,1591,503,1340,419
5350421.04,85942,14191,3984,6640,1461,4250,2125,0,398,12882,1461,398
5350247.02,85973,14027,29379,1326,11165,4047,5024,1047,977,1814,140,558
5350572.09,86039,14069,39568,1189,14595,7784,1730,757,1514,0,0,216
5350424.05,86094,13963,14802,34463,2599,1695,734,2994,339,8644,3220,339
5350572.04,86129,13710,29194,5968,11129,1935,645,968,1935,1129,0,0
5350173,86129,13871,3699,2114,33289,9908,8058,1057,6869,396,264,264
5350008.02,86134,13917,9712,9155,7081,2681,4552,2377,1467,1922,1062,506
5350523,86143,13776,7461,3731,7867,2514,3812,1217,3487,1135,1298,730
5350041,86152,13703,2190,24234,584,730,1314,438,1606,292,438,1022
5350420.09,86162,13946,4649,12973,5081,6054,1946,2811,324,11676,2919,1514
5350054,86166,13834,6149,7942,5465,1879,3245,1025,1964,598,1793,427
5350516.46,86220,13780,37927,10564,3215,6037,919,16535,1509,919,328,0
5350401.11,86224,13776,37856,41940,5981,2115,146,1240,1678,292,0,0
5350516.47,86244,13756,30732,12195,6341,7220,293,11902,1268,0,1366,0
5350091.01,86254,13650,4550,10745,1839,678,1065,581,1065,774,1646,678
5350573.11,86255,13745,45219,1394,21813,1494,3884,199,1494,299,0,199
5350245,86267,13806,14025,877,17239,4018,7743,1096,1972,2922,0,511
5350164,86278,13722,3533,3615,13065,5998,5177,493,1643,329,329,740
5350210.02,86278,13722,7102,7584,5568,1710,4077,1754,1315,1622,1973,745
5350576.43,86279,13798,42448,1472,18513,2091,2246,1162,1704,310,387,0
5350576.71,86329,13671,64821,3854,8944,3173,1129,1640,1363,1405,106,0
5350612.22,86329,13739,15721,5673,4306,3418,3554,6494,1094,1094,3144,205
5350370.03,86347,13653,17076,9091,11794,17322,369,1229,614,2580,0,0
5350030,86374,13626,17230,11599,15315,1689,2703,3266,1351,2027,1464,225
5350213.02,86391,13609,11552,6121,4483,4224,5259,2759,1983,1293,8276,690
5350174,86427,13646,4842,2935,36537,4035,9905,514,4622,954,1761,147
5350421.01,86427,13573,5356,16875,734,1614,147,807,734,13646,1908,147
5350135,86431,13569,4359,8141,2303,2961,2878,1151,658,2714,1974,987
5350301.01,86441,13559,7445,16074,4230,9645,1692,677,677,5076,2369,338
5350528.16,86442,13558,41538,13173,7500,6923,865,6250,2596,0,1058,192
5350575.03,86503,13497,25280,597,18792,4101,3207,746,1193,969,0,149
5350323.02,86580,13528,4437,39610,1623,541,0,216,0,5844,5952,649
5350366,86596,13404,32169,2437,12266,13485,894,1625,325,1950,569,0
5350364.02,86610,13559,23350,5245,9814,16920,1692,4061,338,1184,508,338
5350302.01,86640,13280,6320,28720,3680,2800,1360,2880,1200,2560,2400,1280
5350615,86641,13359,23707,16602,2162,1853,1853,8494,927,1544,3398,154
5350575.07,86659,13219,57650,5018,12118,4039,2326,367,1469,857,0,0
5350528.43,86667,13333,36529,15540,3532,7467,1211,5146,3330,1110,1715,0
5350374.02,86677,13323,11717,31140,4976,10273,1926,321,963,1605,803,2087
5350034.02,86680,13422,6051,9846,10051,3282,2667,3487,718,923,2256,615
5350575.02,86695,13411,15206,317,15312,4329,3801,528,2112,739,0,422
5350324.03,86717,13283,9787,42660,2133,1004,1004,878,376,4266,1882,376
5350111,86735,13265,1633,2041,3061,1633,9796,0,1020,0,0,0
5350238.02,86755,13245,13150,1892,12867,3217,5487,946,568,5298,1325,473
5350291.02,86757,13139,3441,1147,18457,6465,8133,938,8551,1043,209,0
5350521.03,86769,13231,27385,4410,7590,14154,5333,2974,2872,2154,205,308
5350576.64,86810,13248,66647,2208,8542,1859,2208,1162,1859,1336,0,0
5350249.01,86822,13068,49502,332,14618,5205,2215,0,1550,221,554,0
5350403.09,86826,13174,9281,81337,699,1198,898,0,0,200,0,0
5350516.29,86834,13271,25078,18704,8673,1881,836,3344,731,1672,418,418
5350207,86837,13163,6863,4510,6471,5490,4510,392,1373,392,0,980
5350171,86842,13026,6579,1711,31579,5263,3421,1447,3816,263,395,0
5350576.54,86851,13149,64790,0,18212,2870,1987,221,773,883,0,221
5350401.23,86863,13137,23861,46113,4290,2681,0,1340,1340,1072,536,0
5350281.01,86873,13127,6795,5869,26100,8571,6564,0,11274,695,772,0
5350516.28,86912,13190,20531,23800,2349,1941,1226,8478,409,613,1634,409
5350287.04,86943,13161,2484,3520,5797,16460,2070,207,725,0,932,0
5350576.41,86943,13057,45394,732,20195,6772,915,732,2379,1403,488,0
5350155,86964,13036,2310,2145,24752,660,7261,1485,6931,660,0,0
5350139.01,86982,12899,2844,7820,2014,2844,1066,237,355,1777,829,711
5350305.01,86997,12888,5639,34522,690,575,230,1266,690,10587,4028,230
5350342,87051,12949,26915,13220,12746,10847,1356,1085,1220,610,203,271
5350267,87062,12938,10288,34606,468,1559,312,1559,468,3040,3196,468
5350520.08,87063,13016,21253,7851,6503,11023,2220,4044,3093,2062,1190,0
5350378.12,87066,12934,28255,6557,24108,11090,3761,2025,0,482,0,0
5350573.09,87118,12799,37077,1156,22296,2477,1734,743,1899,0,0,578
5350201,87121,12879,6354,5157,4972,4880,3223,368,737,1105,1565,921
5350576.69,87175,12909,70327,1006,11987,2179,754,503,1676,1760,0,168
5350279.02,87177,12823,8684,8083,10146,7911,4815,430,6191,0,172,0
5350527.08,87208,12669,14760,14514,8118,7134,1353,3075,3813,861,1230,0
5350277,87219,12781,1302,2959,828,9112,1065,0,237,592,237,0
5350312.03,87249,12831,7612,2404,22196,4167,15465,481,9295,2564,0,0
5350420.1,87293,12569,10359,72928,0,1105,0,1657,0,6492,691,276
5350422.03,87323,12677,11261,48300,1629,2054,779,3258,1133,8003,3824,779
5350402.09,87335,12665,3166,9367,923,2902,923,0,528,11873,4090,792
5350132,87336,12758,1595,1970,3846,9662,2814,469,0,1970,750,563
5350128.04,87350,12650,5453,3708,4471,2072,2290,545,0,2508,2181,981
5350299.01,87418,12500,5761,8971,2634,4774,1152,823,412,5350,4609,412
5350561,87420,12500,23496,561,15958,5774,2887,0,962,802,0,160
5350200.02,87440,12560,4348,2899,6280,4831,3382,0,0,0,966,0
5350110,87449,12415,2869,3962,4645,4098,9290,410,683,0,410,683
5350222.02,87475,12627,9776,2342,14053,4786,2444,1426,611,2240,815,0
5350313,87477,12613,5676,2432,18018,6667,18288,811,6667,360,0,450
5350063.04,87500,12500,5511,5348,6483,3241,2107,1297,1945,810,1297,0
5350353.02,87512,12488,32703,2647,6805,11437,1040,2647,1607,2552,945,851
5350096.02,87519,12481,6088,6393,2435,2283,5175,304,2283,1065,2131,304
5350576.5,87537,12463,48665,964,21736,2745,3487,593,1632,445,0,0
5350401.06,87550,12450,4418,64458,1807,803,0,402,201,201,1205,201
5350573.1,87558,12442,37327,1229,18740,6298,768,614,1843,307,461,0
5350400.13,87566,12509,63623,21257,4192,1796,225,674,599,1347,0,0
5350108,87604,12313,4080,2664,14738,1998,6994,749,4163,333,0,167
5350576.49,87635,12365,42656,1494,24232,4315,2905,830,747,249,0,0
5350046,87663,12337,2612,13353,6096,726,2903,435,3048,726,290,1016
5350279.01,87685,12315,1847,4557,4557,9113,4680,246,1724,0,369,246
5350166,87694,12306,1195,2270,2867,9200,2270,478,1195,0,956,597
5350053,87703,12297,5209,6490,4697,1025,5124,512,2050,171,256,598
5350263.03,87709,12291,10850,12752,4922,11521,1342,1790,447,1566,1566,559
5350575.05,87726,12274,23160,1732,19913,3319,4185,1804,1227,144,0,144
5350294.02,87753,12360,5618,4831,13708,9213,17865,449,11348,0,0,0
5350576.68,87757,12243,64264,1030,9166,1339,1236,1030,1957,206,206,0
5350033,87764,12347,8333,5556,27000,1889,2556,1222,3222,1667,889,0
5350400.11,87780,12220,48482,33946,4712,2636,240,559,240,1118,0,0
5350424.13,87783,12217,11086,39140,2262,1357,1357,905,1131,7919,1584,452
5350612.19,87790,12088,10379,8303,4274,2320,3297,3053,0,1587,1221,244
5350516.16,87805,12293,12098,11024,5073,1073,1561,2341,585,683,878,1073
5350273.01,87824,12176,7902,23834,5052,1036,389,777,259,5699,1166,1166
5350522,87833,12167,5333,9917,5583,3333,1167,2167,3000,333,1333,333
5350271.02,87834,12273,13966,5330,7356,6930,2665,4904,0,5650,959,0
5350528.2,87845,12155,52718,2847,7938,3279,431,1294,1898,345,259,345
5350244.02,87850,12283,4806,1068,39119,4272,6676,668,4940,4539,401,0
5350263.04,87853,12147,17712,6505,7680,2821,2351,2273,549,4624,1724,392
5350528.19,87862,12232,30812,12792,5882,6816,2241,5415,4855,1494,1587,187
5350368.02,87863,12137,26913,12005,5277,11609,528,528,1451,923,396,264
5350285,87865,12135,3379,2919,12135,6605,4762,0,3687,0,1075,0
5350208,87879,12121,6061,2545,22182,3515,2303,1697,1697,242,848,485
5350576.34,87901,12099,32510,1893,27078,3128,2551,741,576,165,0,0
5350400.04,87918,11825,2314,26478,1542,6427,1542,0,0,514,514,514
5350372,87919,12081,18345,11298,5705,9172,671,4698,559,447,2013,559
5350527.09,87943,11915,12500,19176,6676,11222,2273,4545,852,1136,852,0
5350403.04,87986,12014,11098,72426,801,572,229,1945,1373,1487,686,0
5350248.02,88025,11975,16533,1609,45219,3575,5094,894,3307,3128,447,0
5350612.14,88038,11962,8732,7057,1675,1316,2033,1675,239,598,1196,239
5350411.29,88047,11953,7019,16135,1641,1550,0,365,547,5105,3282,0
5350109,88089,11911,3509,6556,5355,3324,6464,185,2678,277,739,369
5350332,88089,11981,29432,2493,22438,6510,1939,623,693,1939,139,277
5350620.11,88096,11859,30317,1650,5038,5172,3165,4637,1115,892,1115,223
5350575.08,88108,11892,34685,2523,14324,2973,3243,1261,2793,721,0,0
5350230.02,88116,11806,1721,1487,10329,1408,8138,782,313,626,1565,469
5350352,88139,11765,32915,7432,7432,14286,1737,386,1351,3282,0,0
5350316.01,88149,11718,9055,4128,7989,4394,9188,1332,18242,666,0,0
5350517,88166,12130,6805,10059,3254,4734,1183,5325,0,2071,0,592
5350355.02,88196,11708,25912,2495,17274,15739,1152,1536,960,2303,288,0
5350354,88207,11889,28188,2013,8150,16874,3068,192,1151,2780,384,575
5350239,88258,11820,7543,1011,22706,3733,5754,855,467,2100,1166,0
5350620.08,88284,11716,27511,3455,6910,4415,1919,5886,2111,2047,512,192
5350297.02,88299,11624,2696,2928,1849,11094,1002,1464,1310,1387,1310,385
5350403.16,88308,11567,16065,38730,4483,5355,0,747,747,0,1370,249
5350045,88318,11682,2181,9190,1558,779,4050,0,3427,0,935,1246
5350403.15,88354,11646,6369,72796,633,1139,253,2024,675,2235,1645,253
5350363.04,88360,11772,34082,3963,18362,17437,1585,0,1717,661,925,793
5350189,88361,11732,10801,3538,12942,3073,1769,931,838,1490,559,838
5350528.33,88363,11559,33282,7836,5974,4189,1319,5043,3026,1164,543,155
5350402.1,88388,11612,4093,25512,4911,6958,1774,546,1091,3820,6139,273
5350345,88396,11604,20991,6258,8344,18123,1173,1565,2216,391,0,391
5350562.13,88412,11588,20513,2137,14957,13675,5128,0,5128,0,0,0
5350563.02,88498,11502,17440,1440,11680,3360,5120,1280,2080,1280,0,0
5350156.02,88516,11484,2120,1590,10247,7244,8481,530,5300,0,353,353
5350192,88525,11475,3825,5464,9836,8743,3279,2186,0,2186,0,2186
5350423.02,88557,11378,5202,9688,1625,2666,520,975,260,10663,1235,260
5350612.21,88574,11426,14787,5078,4257,1494,3585,6647,299,597,2689,149
5350576.07,88590,11518,27987,3337,14316,1722,3122,215,1615,215,0,0
5350031,88613,11387,32157,13392,12590,3689,2646,1684,5293,1363,160,321
5350620.12,88667,11304,30789,3418,6437,3446,3304,6465,1510,1082,399,342
5350424.11,88717,11283,6696,20769,3100,1116,558,806,744,7750,930,124
5350400.23,88720,11338,60666,16774,2805,4150,468,117,351,1520,0,117
5350096.01,88757,11538,3245,10029,4425,590,3540,0,3540,590,590,590
5350576.56,88761,11303,65539,255,15124,1213,2042,1149,1978,1851,0,0
5350311.03,88827,11173,10987,4469,10056,5587,5028,559,4655,745,931,0
5350612.25,88827,11173,13758,13389,1570,739,1108,5355,369,185,2678,831
5350092,88841,11087,4724,6872,2720,1646,1503,716,644,358,1933,2004
5350278,88851,11149,1088,1700,2515,8158,2243,204,680,952,476,204
5350250.02,88856,11144,14627,398,21095,3284,7662,2289,1891,1194,597,299
5350005,88862,11057,6962,4341,10401,7617,3931,655,3767,410,737,164
5350344.01,88868,11224,26784,4819,10102,15292,1854,1297,1761,463,0,185
5350575.04,88871,11129,8592,1473,12930,8183,5401,409,2128,0,0,0
5350421.06,88873,11274,5702,13889,1316,1316,585,2047,1170,15497,4532,439
5350304.02,88914,10974,5381,33296,1345,1345,1570,1345,561,7511,4036,1233
5350008.01,88933,11067,7073,7466,3602,2620,2750,1703,1310,1048,2030,524
5350124,88942,11153,2860,3337,2097,1049,2097,858,191,1525,1621,858
5350236.01,88964,11036,9977,2192,7785,4460,4686,2116,1134,2268,1738,0
5350167.01,88978,11022,3495,3226,4839,538,1613,538,806,1075,538,538
5350378.05,88988,10883,24744,3205,28077,16026,513,641,641,1026,0,0
5350057,88989,11011,3596,4045,1348,449,1798,0,899,674,2921,1573
5350059,88994,11321,4396,10989,2355,1256,942,942,785,785,471,2512
5350122,89014,10986,4010,5533,802,1203,1123,1043,642,962,802,882
5350612.23,89059,10832,11050,8972,2735,1751,2298,3829,985,2188,3173,0
5350516.03,89064,10936,12697,2277,4116,3678,4991,3327,701,788,263,175
5350576.29,89072,11055,36468,254,20839,6353,3177,1017,1271,508,0,254
5350308.02,89082,10918,4646,8827,929,1858,1742,232,232,6272,4878,697
5350528.34,89103,10897,26488,9137,4275,10059,2515,2766,6203,1676,587,168
5350401.14,89117,10883,6082,58131,1601,960,0,1472,768,832,256,128
5350244.01,89123,10789,11579,1140,25702,5351,9035,263,3246,2018,1579,263
5350410.1,89128,10872,3793,10619,759,759,1138,1264,253,5310,4551,253
5350503,89133,10867,9372,2991,6181,3789,3589,3789,897,698,0,199
5350378.16,89156,10762,54553,5546,12583,8030,1325,662,662,1656,0,0
5350528.02,89173,10827,31714,14708,7223,4071,1641,10506,3940,460,985,0
5350411.18,89213,10831,13028,17161,3684,4313,2381,1662,1932,3774,3998,135
5350347,89251,10557,23654,10192,8462,20577,1346,577,769,0,769,577
5350528.01,89270,10730,18909,17678,7652,5453,1231,6860,1935,528,176,440
5350424.14,89280,10682,10947,21250,2348,1591,1364,2500,795,11326,2765,114
5350573.03,89283,10717,17633,322,15378,5556,4187,1932,1852,161,0,0
5350335,89288,10777,25653,5614,7311,6527,1371,522,457,1305,457,326
5350576.06,89288,10781,26418,1383,16044,3458,1521,553,1037,207,0,484
5350576.24,89320,10632,58936,575,6181,815,1390,527,1437,1342,0,0
5350066,89345,10655,5256,6911,6263,6407,3096,1440,1512,720,936,504
5350521.04,89349,10651,9648,4135,6126,8499,2833,4671,2603,1072,842,459
5350562.03,89368,10532,17954,702,14644,2608,5216,1003,1003,201,0,0
5350528.37,89397,10603,55627,2403,7151,4572,645,1817,2462,234,117,176
5350378.25,89420,10580,70427,3569,5864,12173,1083,382,637,191,0,0
5350576.72,89428,10626,52022,3181,6092,3235,1078,2318,2426,1563,108,216
5350516.09,89429,10643,9143,6143,8071,4714,5929,3643,714,357,714,571
5350562.07,89432,10568,26507,910,7509,3982,6143,341,910,0,0,0
5350137,89440,10560,3470,4887,4249,4037,1983,567,212,2408,1700,496
5350403.12,89451,10601,30416,39114,2741,4744,211,1950,1002,896,474,158
5350528.12,89469,10444,38381,12097,4961,5570,957,5918,2263,2350,174,609
5350378.27,89474,10526,55220,1984,15444,14754,777,949,1035,0,0,0
5350527.07,89511,10591,9267,1324,9674,9267,6212,1833,916,1018,0,407
5350210.01,89513,10487,8427,5618,3184,2996,2060,0,2622,375,2247,749
5350608,89515,10485,5049,2330,1748,10097,971,0,0,1359,777,0
5350165,89523,10477,1630,1746,5355,7334,3143,815,349,349,582,582
5350401.15,89580,10603,4753,33821,3108,3839,548,1463,2194,0,0,731
5350620.1,89609,10391,31663,4360,4645,4971,1059,3993,367,1263,652,407
5350402.05,89620,10127,5823,23038,506,506,0,0,0,12152,2785,0
5350106,89627,10512,6906,9116,7044,13260,6906,0,5801,276,414,414
5350240.02,89643,10270,2003,697,7317,1132,6098,697,0,697,1655,0
5350402.08,89661,10339,7183,27845,323,1453,969,969,404,13317,5327,161
5350275,89661,10339,1441,3390,932,7712,1949,0,169,1864,1186,254
5350420.06,89695,10401,6011,61546,859,1336,0,3053,0,5439,1622,0
5350237.03,89695,10305,10385,716,10833,2865,5103,358,358,448,3312,179
5350516.08,89698,10302,11307,2178,12060,9883,1926,4020,503,1089,754,251
5350528.15,89725,10275,22646,23386,6243,5503,741,7196,2646,1905,635,0
5350516.32,89725,10275,22279,3662,7223,6409,3866,6409,610,2442,916,305
5350029,89734,10192,6130,26145,5022,2290,665,812,4357,886,739,1625
5350364.01,89755,10245,30736,3940,12872,9982,2715,788,1313,1751,0,350
5350016,89763,10185,6279,9213,7823,2316,1853,1081,1184,1595,1184,721
5350222.01,89776,10149,4552,5896,6418,4403,3209,2015,1045,2388,1866,672
5350411.17,89778,10222,7666,22865,1681,1748,740,2421,1210,5649,2623,0
5350528.39,89786,10143,27214,5786,6214,6286,4071,4286,1786,2357,1000,214
5350044,89821,10179,3393,8095,4524,1667,2679,476,1310,714,1667,536
5350410.02,89840,10160,6621,13356,5023,20434,1256,0,1598,1484,2740,457
5350312.07,89902,10098,3257,2606,17427,7818,7980,326,9446,977,0,0
5350114,89922,10174,1452,4840,5808,3098,3485,1065,387,387,581,290
5350113,89925,10075,2617,2430,6168,3364,7103,374,561,0,0,748
5350348,89944,10056,13128,5400,3724,14432,1955,186,1210,838,652,931
5350091.02,89971,10029,2718,5579,10587,1288,2003,1431,429,2003,715,429
5350421.07,89976,10024,3341,9189,835,1074,1074,597,239,13962,3580,0
5350411.09,89976,10103,14613,7978,3555,5292,1738,1896,1343,2133,711,237
5350403.13,89984,10096,23478,28205,4167,4888,481,1282,1122,641,881,240
5350420.15,90000,10000,8909,43430,0,668,0,4009,2450,14477,6236,891
5350612.18,90012,9988,9535,5233,4070,3372,2558,4767,1163,1395,1163,0
5350358.02,90042,9958,17191,1468,28616,8595,3249,524,0,2516,210,0
5350612.08,90046,9954,17972,10415,2028,645,1198,3871,1290,2028,1382,276
5350401.07,90050,10076,3023,34761,504,1134,0,378,0,1134,1511,1511
5350153,90068,9817,4571,3200,9829,4114,9143,800,8000,0,457,686
5350411.01,90105,9895,15794,6470,5519,15699,1808,1237,2379,1998,1808,285
5350516.31,90128,9872,15722,19561,3656,2194,1097,5850,914,2925,2011,548
5350272.02,90138,9756,14210,14740,6469,4560,1485,6575,636,2227,1379,212
5350074,90191,9809,8153,17325,8280,2038,1656,764,1911,637,255,1529
5350371,90197,9735,14159,8781,3880,11504,885,6603,477,1906,408,272
5350452.06,90226,9882,8378,15575,4834,3115,2256,859,5156,2363,644,0
5350516.39,90258,9647,35244,3629,12989,8309,2101,7259,2865,287,191,0
5350184.01,90258,9742,7853,6362,4573,4175,1690,596,795,696,1193,1392
5350343,90261,9739,23306,6778,10939,9156,1070,357,0,476,0,476
5350620.01,90266,9734,25068,1958,7993,5873,4024,2066,1088,1686,218,163
5350015,90274,9726,6027,9178,7397,1370,822,1233,548,1644,1233,959
5350562.09,90274,9726,15586,998,11721,6983,8603,499,1247,0,249,249
5350154,90297,9783,4006,1603,7292,2804,5929,160,2244,401,401,481
5350129,90306,9694,3144,8472,2707,1921,786,611,611,873,2271,961
5350513.04,90318,9682,10345,5703,1724,2255,2785,1459,1857,2653,663,398
5350176,90323,9677,3846,2109,8685,1985,7568,372,2978,744,248,620
5350516.38,90323,9677,36943,8218,8372,6605,2304,9908,2611,1152,154,461
5350560,90330,9670,18936,1048,13296,3707,4432,242,2498,403,0,161
5350528.49,90337,9663,37134,4235,4886,6515,1954,1846,1954,217,1194,0
5350098,90339,9732,6202,5497,10853,987,3665,1128,2396,282,1621,282
5350502.01,90355,9645,6642,3640,8007,8371,3094,2093,455,0,1092,910
5350400.21,90355,9391,29262,41730,3053,6616,1018,0,763,0,509,0
5350620.06,90427,9573,22901,2356,5228,6406,4418,4566,1031,957,957,515
5350424.04,90437,9356,13098,45738,3326,2287,0,1247,624,8940,3326,0
5350452.05,90441,9664,10294,7353,3571,5567,2416,1366,6092,6618,1471,210
5350356,90445,9555,27609,2717,8152,11957,1957,217,978,1413,326,0
5350042,90449,9663,1796,8193,2132,673,1347,337,337,337,224,337
5350516.25,90494,9632,21673,5070,7224,4816,2028,1267,887,3549,507,253
5350411.21,90504,9496,22868,5426,6783,4457,9884,2907,5426,6008,0,0
5350411.3,90522,9478,6658,15649,892,4942,412,686,1647,3500,6795,206
5350424.08,90528,9472,5345,20365,1286,812,880,1150,677,9472,2842,406
5350058,90552,9571,2206,10907,1838,980,1103,490,490,368,1593,858
5350358.03,90582,9511,17267,1847,27147,11265,1385,554,923,923,0,369
5350412.1,90593,9407,18575,1018,3308,2036,1866,2375,2290,933,0,0
5350612.03,90640,9360,9920,9680,3600,720,2160,2400,560,1120,1280,880
5350450.06,90680,9320,6537,26149,2654,2071,971,1100,583,1877,453,0
5350410.11,90686,9191,858,4289,1103,1716,490,0,245,1348,1961,0
5350400.12,90704,9296,7044,44735,4938,1816,581,1235,1017,436,654,654
5350270.02,90714,9167,4052,6436,12634,3218,2741,2265,238,1907,1549,596
5350410.03,90725,9344,2092,9275,488,3696,349,907,837,4114,4603,139
5350605,90737,9474,3571,3782,0,420,630,420,0,2101,0,0
5350442.06,90758,9242,7251,27962,3744,1848,1327,1801,853,4313,1754,379
5350094,90787,9213,1865,11295,3109,1451,2798,311,1140,1036,1347,622
5350540.02,90800,9108,5704,1932,2300,2392,1748,1196,1196,460,552,184
5350362.03,90803,9197,34891,8686,13504,8102,1314,438,949,292,657,292
5350264,90805,8812,6130,26054,766,1149,0,0,0,4981,0,0
5350131,90858,9142,1584,3821,1584,3821,1864,186,652,839,652,466
5350528.47,90875,9125,31464,8270,6559,7129,2567,7129,4658,1521,475,190
5350402.01,90890,9110,5602,29253,4357,1245,1867,1452,0,4772,2697,1245
5350401.1,90919,9188,8004,64568,1921,640,320,1281,854,640,961,213
5350528.24,90926,9074,36581,11175,5062,5062,1146,5826,1910,287,1433,860
5350367.02,90972,9167,26944,7639,5833,10694,2361,694,0,417,417,278
5350576.47,90977,9023,69549,1880,10777,1629,2005,251,501,0,0,0
5350055,90996,9004,4789,4598,4215,383,2299,958,958,383,383,1341
5350612.13,91003,8997,3985,7841,1671,514,1157,386,514,514,1414,0
5350540.01,91012,9091,2580,1445,3509,1754,2167,2683,619,413,516,0
5350411.19,91026,9032,4338,13716,645,1641,996,1172,586,6038,2931,0
5350573.05,91039,9050,20430,1523,11738,1434,2061,179,896,269,358,0
5350402.07,91045,9204,4963,17618,1241,0,744,0,496,14640,5955,496
5350400.19,91046,8954,19990,27382,3800,5518,1249,573,989,781,312,416
5350573.07,91050,8950,11962,602,21687,2496,3184,1033,1033,516,0,0
5350206.01,91063,8937,3739,1809,5066,5911,1327,724,1327,241,0,0
5350315.01,91063,8937,14946,1541,6780,2003,9861,1387,3082,2465,308,0
5350524.01,91104,9003,7181,7610,6860,9218,3215,3323,6109,0,750,322
5350130,91111,8889,2815,5778,889,3556,296,593,741,741,0,0
5350606,91124,8974,5523,2367,4734,2959,1775,1282,690,2860,197,0
5350056,91125,8978,2064,9907,2374,722,1961,206,413,722,1238,413
5350119,91128,8872,3289,3509,2632,1316,2851,877,548,1096,548,1096
5350378.17,91163,8837,27729,2212,30678,8997,1180,0,0,5752,0,295
5350575.01,91179,8736,18591,170,20713,2632,4160,1019,2292,424,0,0
5350209,91188,8621,4023,1533,4981,4023,2682,958,2299,0,1149,575
5350266,91190,8810,3400,16692,2164,464,464,618,618,4482,2318,927
5350073,91221,8969,3053,32824,5344,763,954,954,1718,0,573,0
5350048,91223,8921,3741,2302,3453,1727,1007,432,0,288,576,719
5350358.01,91272,8728,19675,2811,12722,8432,1775,0,0,740,0,444
5350403.01,91293,8773,12335,57718,3232,528,726,1385,264,1121,330,1187
5350411.23,91309,8801,8901,1648,4176,2637,3956,1758,2857,4286,1429,0
5350562.15,91345,8655,37766,2527,12500,3590,931,931,1330,3191,0,399
5350010.02,91346,8722,5541,7230,4257,2838,2500,676,1216,676,1689,541
5350516.4,91379,8621,26254,7367,9639,6113,2038,3918,940,1254,235,313
5350019,91382,8780,1789,16585,12358,2276,1138,0,3577,488,813,0
5350185.02,91406,8594,7143,5357,5915,3348,2009,1116,1004,1228,223,446
5350601,91429,8571,6548,9048,238,1071,1071,0,476,1667,476,833
5350527.02,91431,8669,12298,6855,2218,2419,1613,806,1008,907,907,504
5350028.02,91448,8552,3641,18713,3387,2371,1693,677,677,0,762,339
5350276.01,91454,8466,2474,3432,2713,7023,1596,798,399,1197,559,479
5350576.32,91466,8534,31832,1361,18168,4293,2775,681,1466,0,0,0
5350600.02,91471,8458,11016,13646,5899,2985,711,3483,640,3056,1493,284
5350287.03,91505,8495,1639,1639,40984,6259,4918,1937,1639,2086,1490,298
5350613.03,91511,8489,8365,4869,4370,499,1623,1623,250,375,1124,0
5350350,91517,8483,18096,4147,6598,8483,1320,3582,848,2451,189,189
5350080.01,91518,8631,3423,7143,4613,2679,2083,0,595,298,893,1042
