S_CTUID,690,743,746,857,860,867,870
5350077,7.3,75733,28736,14.1,14.8,12.5,14
5350078,8.4,57941,23520,18.8,19.5,16.5,18.1
5350079,6.5,85434,30720,10.4,8.3,9.5,7.8
5350080.01,9,68608,29344,14.3,13.5,12.9,13.5
5350080.02,17.7,38898,23040,35.3,33.1,30.6,29.5
5350081,9.3,75008,27328,11.3,11.3,10.5,12.4
5350082,7.8,83584,32672,10.2,10.1,10.5,11.8
5350083,10.8,54208,19981,18.9,14.3,17.7,15.7
5350084,5.4,80811,28800,11,11.8,10.5,12.3
5350085,5.9,54827,33408,16,15.3,14.7,15.5
5350086,0.8,204288,65152,6.4,6.3,6.4,7.6
5350087,2.1,101803,57088,8.2,9.5,7.6,9.7
5350088,5.5,67054,48192,18.5,20.7,17.9,20.7
5350089,1.6,72355,49984,20.2,23.2,18.7,22
5350090,3.3,67933,47258,14.9,14.2,12.9,12.9
5350091.01,3.3,57600,41056,21.4,24.9,21.6,25.7
5350091.02,5.6,41884,24048,27.6,28.3,27.7,29.1
5350092,4.1,56474,36224,17.9,19.8,20,23
5350093,5.9,70400,35200,11.2,11.9,13.8,16.5
5350094,9.7,61184,29504,14.6,14.9,15.6,17.9
5350095,10.1,60480,29376,12.7,12.9,15,17.3
5350096.01,11.5,67277,26624,13.9,14.9,14.8,17.9
5350096.02,10.6,58048,30656,14.6,14.5,15.6,17.1
5350097.01,13.3,52791,23744,21.1,20.7,21.6,23.5
5350097.03,29.6,22976,15856,44.4,46.2,41.9,44.6
5350097.04,9.7,56448,37047,16.3,15,16,16.3
5350098,11.4,58159,22592,18.8,16.2,17.5,16.8
5350099,7.4,50304,29109,20.8,20.8,19.1,20.2
5350100,7.4,57628,38784,15.2,15,13.8,14.1
5350101,6.2,59616,37248,12.7,13.2,13.8,15
5350102.02,9.8,47168,34688,26,23.6,23.1,21.6
5350102.03,6.8,55066,44373,17.3,16.4,15.2,14.7
5350102.04,5.2,76160,37248,8.2,10.9,9.7,12
5350102.05,5,83968,35712,7.6,6.8,8.8,9.4
5350103,5.1,88192,46336,6.6,7.4,6.4,8.1
5350104,4.5,103014,41856,6.4,6.4,5.7,6.3
5350105,7.6,72302,33984,11.7,12.4,11.4,12.9
5350106,11.1,66688,25504,14.9,14.4,14.4,14.4
5350107,13.9,68704,25178,13.4,12.1,12.2,12
5350108,18.7,44384,17713,26.3,25.1,23.9,24.9
5350109,10.1,67947,34432,13.9,13.1,12.6,13.3
5350110,12.4,59538,28075,14.7,13.9,15.1,16.3
5350111,14.6,69018,28864,10.4,9.6,10,10.2
5350112,13.2,61536,27456,13.5,13.6,12.8,14.1
5350113,7.3,64640,30848,14.3,15.1,14.6,16.9
5350114,9.3,52864,24277,17.6,15.3,16.1,16.6
5350115,12.8,59456,26592,16.7,16.5,15.7,17.2
5350116,6.2,61909,37472,15.5,15.8,14.8,16.3
5350117,3.8,78165,39595,13.1,12.9,13.8,14.9
5350118,4,84480,53504,11.4,13.5,10.9,13.7
5350119,2.2,71168,44160,13.2,14.9,11.3,13.7
5350120,2.3,112128,47488,9.4,10.8,8.3,10.2
5350121,3.3,79424,54144,11.3,14.3,11.3,14.7
5350122,3.9,72496,49493,11.7,14,11.5,14.5
5350123,6.4,47979,40864,20.4,20,17,17.3
5350124,5.1,63302,49472,13.6,16,12.2,15.3
5350125,1.3,184832,54912,5.1,5.7,5.3,6.1
5350126,4.3,102827,45312,6.8,7.1,6.1,6.9
