S_CTUID,19,73
5350001,87637,16522
5350002,69888,1538
5350003,69376,6593
5350004,34859,28189
5350005,42496,22113
5350006,0,0
5350007.01,38635,26582
5350007.02,36334,24292
5350008.01,68846,15390
5350008.02,60894,17097
5350009,28352,10909
5350010.01,72243,11058
5350010.02,66394,14392
5350011,68348,19294
5350012.01,57547,25709
5350012.03,70707,24986
5350012.04,67925,17073
5350013.01,67642,21485
5350013.02,76416,23478
5350014,90176,26582
5350015,74547,15479
5350016,67212,16366
5350017,54380,13651
5350018,73728,16946
5350019,53824,24351
5350020,113493,10766
5350021,64875,7938
5350022,100659,4732
5350023,103936,4098
5350024,79104,6333
5350025,59584,9185
5350026,64333,18315
5350027,63437,31293
5350028.01,78950,17153
5350028.02,70349,24640
5350029,61056,37029
5350030,51088,17568
5350031,33728,25100
5350032,24787,13781
5350033,21941,12681
5350034.01,52261,29697
5350034.02,47598,19160
5350035,43472,43525
5350036,44459,44102
5350037,38613,43294
5350038,38997,43380
5350039,37589,48010
5350040,61952,40594
5350041,67776,28571
5350042,61792,10325
5350043,65946,14737
5350044,59054,15060
5350045,56064,17574
5350046,55808,18433
5350047.02,32411,22267
5350047.03,72512,5625
5350047.04,68096,12478
5350048,60672,6609
5350049,68710,5502
5350050.01,72082,9578
5350050.03,76288,8612
5350050.04,63829,9839
5350051,69478,7411
5350052,67507,9500
5350053,55616,12126
5350054,49061,15201
5350055,59443,8604
5350056,65152,14241
5350057,61525,10762
5350058,61542,16319
5350059,60640,16954
5350060,51430,22727
5350061,27712,29730
5350062.01,44237,29401
5350062.02,39125,43212
5350063.03,49754,21127
5350063.04,40192,14610
5350063.05,45001,27928
5350063.06,45193,16651
5350064,50048,15693
5350065.01,40960,25720
5350065.02,32389,28650
5350066,45416,18790
5350067,103595,7122
5350068,69248,12076
5350069,88576,23931
5350070,60373,10912
5350071,82330,8918
5350072.01,49493,18029
5350072.02,74701,14441
5350073,63360,38359
5350074,56896,25605
5350075,62891,22334
5350076,64213,18939
5350077,75733,11964
5350078,57941,10482
5350079,85434,11057
5350080.01,68608,13690
5350080.02,38898,18934
5350081,75008,14912
5350082,83584,11679
5350083,54208,12843
5350084,80811,12142
5350085,54827,11307
5350086,204288,7385
5350087,101803,7819
5350088,67054,22785
5350089,72355,16098
5350090,67933,10701
5350091.01,57600,16554
5350091.02,41884,9456
5350092,56474,14173
5350093,70400,14061
5350094,61184,17391
5350095,60480,14465
5350096.01,67277,16272
5350096.02,58048,14916
5350097.01,52791,20452
5350097.03,22976,18852
5350097.04,56448,14169
5350098,58159,13037
5350099,50304,14569
5350100,57628,13686
5350101,59616,9892
5350102.02,47168,6497
5350102.03,55066,6892
5350102.04,76160,8943
5350102.05,83968,13253
5350103,88192,8426
5350104,103014,9406
5350105,72302,10925
5350106,66688,35912
5350107,68704,13176
5350108,44384,10566
5350109,67947,15143
5350110,59538,11066
5350111,69018,5918
5350112,61536,7331
5350113,64640,8396
5350114,52864,10939
5350115,59456,21093
5350116,61909,11205
5350117,78165,9132
5350118,84480,7022
5350119,71168,7346
5350120,112128,6818
5350121,79424,10101
5350122,72496,10024
5350123,47979,11700
5350124,63302,7810
5350125,184832,6748
5350126,102827,9206
5350127,92992,13925
5350128.02,61294,13645
5350128.04,59669,9815
5350128.05,83200,11194
5350128.06,47271,13049
5350129,78080,15197
5350130,140672,11111
5350131,86784,11007
5350132,80384,13308
5350133,54089,19278
5350134,130816,8202
5350135,60288,15378
5350136.01,48512,12795
5350136.02,46891,17523
5350137,63712,12323
5350138,139392,9836
5350139.01,84685,13152
5350139.02,128512,7678
5350140,206336,8460
5350141.01,115507,19861
5350141.02,129109,12801
5350142,110043,13556
5350150,115200,6021
5350151,44489,6809
5350152,85163,8343
5350153,61408,18721
5350154,53687,8581
5350155,42624,11221
5350156.01,38165,14236
5350156.02,54315,17314
5350157,49707,15254
5350158,39936,18105
5350159.01,59191,12389
5350159.02,60032,10650
5350160,62144,8571
5350161,57728,16871
5350162,55125,18351
5350163,57643,13303
5350164,58394,13476
5350165,58277,11072
5350166,80538,15054
5350167.01,48640,6452
5350167.02,46391,19843
5350168,43321,26273
5350169.01,53888,38604
5350169.02,52622,23119
5350170,60800,21566
5350171,41472,12648
5350172,42304,14008
5350173,42923,19551
5350174,49257,14380
5350175.01,41792,13953
5350175.02,35872,8120
5350176,68571,8561
5350180,44911,11862
5350181.01,73318,17558
5350181.02,55104,15656
5350182,79639,17025
5350183.01,77184,16604
5350183.02,82739,16667
5350184.01,48512,14796
5350184.02,56128,18996
5350185.01,44870,12263
5350185.02,51488,11719
5350186,111360,8159
5350187,75861,13759
5350188,80597,16500
5350189,54295,10884
5350190.01,41941,13213
5350190.02,41882,18597
5350191,61466,11916
5350192,37205,18579
5350193,81600,6502
5350194.01,41008,4279
5350194.02,44992,3385
5350194.03,33957,28699
5350194.04,49774,16489
5350195.01,102656,14590
5350195.02,100608,13866
5350196.01,104896,13941
5350196.02,105574,5591
5350200.01,45914,11231
5350200.02,39360,9662
5350201,53333,16467
5350202,83072,10876
5350203,62528,13629
5350204,52452,7918
5350205,0,0
5350206.01,56352,10024
5350206.02,51797,8945
