S_CTUID,Membership
5350307.06,6
5350307.07,6
5350308.02,3
5350308.03,3
5350308.04,6
5350309.0,6
5350310.01,3
5350310.02,1
5350311.02,7
5350311.03,1
5350311.04,1
5350311.05,7
5350311.06,7
5350312.02,7
5350312.03,7
5350312.04,7
5350312.05,7
5350312.06,7
5350312.07,1
5350313.0,1
5350314.01,7
5350314.02,7
5350315.01,1
5350315.02,8
5350315.03,7
5350316.01,1
5350316.03,7
5350316.04,7
5350316.05,7
5350316.06,7
5350317.02,6
5350317.03,6
5350317.04,6
5350317.05,6
5350318.0,6
5350319.0,6
5350320.01,6
5350320.02,6
5350321.01,6
5350321.02,6
5350322.01,6
5350322.02,6
5350323.01,6
5350323.02,6
5350324.01,6
5350324.02,9
5350324.03,6
5350324.05,6
5350324.06,6
5350330.0,5
5350331.01,5
5350331.03,7
5350331.04,1
5350332.0,7
5350333.0,5
5350334.0,5
5350335.0,1
5350336.0,1
5350337.01,2
5350337.02,2
5350338.0,2
5350339.0,4
5350340.0,1
5350341.02,2
5350341.03,7
5350341.04,7
5350342.0,1
5350343.0,1
5350344.01,1
5350344.02,7
5350345.0,1
5350346.01,7
5350346.02,7
5350347.0,1
5350348.0,1
5350349.0,7
5350350.0,1
5350351.01,1
5350351.02,1
5350352.0,1
5350353.02,1
5350353.03,1
5350353.04,7
5350354.0,1
5350355.02,1
5350355.04,7
5350355.05,7
5350355.06,7
5350356.0,1
5350357.01,8
5350357.02,7
5350358.01,1
5350358.02,7
5350358.03,7
5350359.0,7
5350360.0,1
5350361.01,5
5350361.02,3
5350362.01,1
5350362.02,1
5350362.03,1
5350362.04,1
5350363.02,1
5350363.04,1
5350363.05,7
5350363.06,6
5350363.07,7
5350364.01,1
5350364.02,1
5350365.0,8
5350366.0,1
5350367.01,8
5350367.02,1
5350368.01,6
5350368.02,1
5350369.0,8
5350370.01,6
5350370.02,1
5350370.03,1
5350371.0,1
5350372.0,1
5350373.0,1
5350374.01,6
5350374.02,9
5350374.03,9
5350375.01,6
5350375.02,3
5350375.03,1
5350375.04,9
5350375.05,6
5350376.01,9
5350376.02,9
5350376.04,6
5350376.05,9
5350376.06,9
5350376.08,9
5350376.09,9
5350376.11,7
5350376.12,6
5350376.13,9
5350376.14,9
5350376.15,9
5350376.16,6
5350377.01,9
5350377.02,9
5350377.03,9
5350377.04,9
5350377.06,9
5350377.07,9
5350378.02,9
5350378.03,1
5350378.04,8
5350378.05,7
5350378.06,8
