S_CTUID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
5350260.05,4020,3800,20149,17164,17164,40050,5597,3,48330,184000,21769,77444,53425,26027,19178,63.2,59.7,36.8,32640,20160,61,49.3,42627,33333,23916,2230,15242,3594,1487,1487,2107,15985,496,867,2354,28129,2230,97770,0,47388,52612,31016,30481,13369,9893,6684,0,17914,20588,37.7,19.6,40306,48469,8163,33673,41837,24490,620,6444,6320,1487,1487,0,15985,3841,5328,2602,3594,1611,9046,21190,22800,10037,0
5350260.06,3348,3304,14328,15224,15075,48657,6716,3,48948,182813,18284,70248,48148,29630,22222,84.5,79.2,15.5,50880,35328,31.1,25.9,56449,23520,27618,6677,15933,18816,1973,1973,1366,6829,1366,0,1973,13202,27753,72247,0,63436,37004,9924,20611,17048,30025,5852,1018,31378,38010,59.6,8.1,38870,51827,4319,29900,46844,23588,303,5311,4249,1062,1062,303,4401,5008,7587,3794,3187,1669,7739,11836,27314,30046,0
5350260.07,3670,4105,8992,8992,9673,48093,24387,2.4,54016,137609,22260,53614,75000,20000,5000,82.9,68,16.9,58112,39040,19.2,13.1,77690,7612,37008,6824,5381,6299,2493,1181,0,4462,1837,262,525,32808,84262,15738,0,58689,41639,9227,23691,19451,27930,7481,2494,39900,26933,51.2,7.6,56452,36129,2258,39032,43871,16774,262,6430,9711,2100,3412,525,6299,16010,3806,2493,0,656,2756,11942,35827,16535,0
5350261,5501,5450,8084,11353,11262,42416,26703,2.4,39916,237173,22435,61017,57292,27083,15625,75.8,65.9,24.2,41033,18221,29.6,23.6,74614,8301,33012,3668,11004,7529,1351,2124,579,5405,483,386,1351,29151,55353,44419,0,61503,38497,11932,24242,23106,24053,4735,568,37996,25709,45.4,11.8,43411,47287,4134,30052,41451,28756,3378,9073,14672,2606,3282,290,4247,9942,7143,3861,1448,869,6660,9363,33687,13610,0
5350262.01,5736,5472,11063,7578,13502,50958,16725,2.1,48519,173263,24254,53247,75309,22222,4938,85.3,74,14.8,47258,35904,21.4,16.8,67408,16339,13088,3849,15997,7271,4021,1882,1112,2908,1625,770,1369,44996,33394,66241,0,62888,37294,10162,24153,27541,20766,7658,442,43152,22533,59.5,8.3,48370,42391,3804,35443,44304,20253,1711,14200,20445,4534,5475,1198,5389,18221,11377,4790,2310,171,2395,6758,14371,15227,0
5350262.02,6273,6260,11404,11882,12679,48565,15550,2.5,51250,159099,21302,60853,64198,23457,13580,84.9,71.2,15.1,51285,32640,27,20.4,66153,17857,8279,5114,9253,6899,2029,13799,0,4383,649,162,1867,46997,37022,62777,0,61336,38664,13069,22907,22026,22467,6902,1028,38326,25698,54.1,10.7,55977,35674,3605,43750,39015,17235,1300,10642,20877,4549,5605,894,6336,19090,5605,2924,1219,975,1868,21608,7880,14785,0
5350263.02,3471,3175,7349,8501,9078,47983,27089,2,51876,145283,24746,50000,78788,18182,3030,90.5,71.8,9.6,64555,44672,13.5,11.1,79390,6531,5370,13498,2032,2322,871,2612,290,1306,1451,1742,581,67344,69048,30952,0,63582,36418,1408,16620,17465,36056,12113,1690,54648,27324,54,6.8,64746,23729,6780,41892,42905,14189,1016,13933,28882,5806,8418,1597,15675,20174,1742,1161,0,1016,726,8128,6096,20029,0
5350263.03,4906,5514,8767,10601,10703,50051,19878,2.2,50410,157674,20519,56784,71429,23214,5357,90.9,78.6,9,58149,40960,16,13,71397,12291,10850,12752,4922,11521,1342,1790,447,1566,1566,559,336,48658,40342,59658,0,64865,35135,7749,17712,19926,30812,11070,1845,46494,28044,64.4,6.8,55835,30435,8924,44622,38673,16705,1453,14190,21117,5363,6034,1788,9050,12849,4469,2458,0,1006,1341,6034,10950,28827,0
5350263.04,6531,5247,7887,3292,9801,48009,31087,1.8,50635,147324,28816,35192,77612,19403,2985,87,63.6,13,55761,44826,17.5,13.2,78213,12147,17712,6505,7680,2821,2351,2273,549,4624,1724,392,1254,50705,43714,56286,0,61087,38913,5540,18560,18837,31856,11634,970,48271,27663,53.3,9.2,60071,28622,5654,44956,38230,16637,784,10196,23059,3451,6824,1098,14431,11529,5020,3529,1255,1725,2353,10588,17961,13098,0
5350264,1301,1447,6923,11923,16538,41923,23462,3,59389,119853,9677,56923,40000,40000,30000,99.2,41.3,1.1,176640,107776,13.1,12.3,74713,8812,6130,26054,766,1149,0,0,0,4981,0,0,0,60920,93023,5814,0,72093,27907,2500,20000,8333,31667,12500,1667,45000,31667,51.8,4.1,85057,4598,5747,59770,36782,4598,766,15709,10345,4981,8046,1149,19923,11877,0,1149,0,2299,1149,11494,6513,26437,0
5350265,4756,4047,10714,15021,9244,45903,19223,2.7,63462,97576,18531,58678,48148,37037,11111,98.6,71.7,1.3,152869,76203,7.8,7.2,71152,8288,3983,11410,753,431,1076,431,538,2476,2368,538,215,74812,88986,11014,0,78551,21449,432,7775,4968,43413,24406,4320,67026,24353,54.2,9,64000,20000,8615,42638,52147,5215,430,22151,48387,8280,13871,4409,11505,13871,860,2258,215,538,1075,7204,4301,16344,753
5350266,3209,3219,7009,15888,13551,45794,17601,3,61261,112647,14352,63030,55000,35000,15000,98.7,62,1.2,183296,67840,8.6,8.7,73725,8810,3400,16692,2164,464,464,618,618,4482,2318,927,0,66306,92627,7373,0,76959,23041,1846,11385,8923,37846,21538,615,62462,24615,53.6,8,71552,20259,3017,46121,46121,7328,309,11747,30757,5873,9274,1700,18547,14374,2164,927,309,464,1546,9892,3864,21947,773
5350267,6368,6606,9269,15868,11076,44462,19324,3.1,64455,97353,11200,66667,57895,34211,5263,96.7,64.2,3.3,122807,53888,10.1,8.8,65627,12938,10288,34606,468,1559,312,1559,468,3040,3196,468,234,41933,84019,15738,0,73966,25791,2212,8057,10427,39652,19431,2686,57504,32070,58.1,4.7,70423,20121,3421,46881,44064,9256,156,9119,14108,1793,5378,857,17303,8885,1013,857,0,701,0,8885,10678,40920,0
5350268,6419,6376,8496,9587,8963,44895,28059,2.2,55785,123955,19675,51815,73684,21053,5263,91.3,63.4,8.7,69297,44096,12.1,10.2,77088,8274,5807,15274,2546,4137,1432,2148,239,2387,1989,1114,398,61575,75352,24648,0,70796,29381,3426,18434,18271,33116,13703,1468,54323,23654,50.4,8.3,63017,25620,5785,47107,41116,11983,1114,14002,34129,5091,9785,1671,11695,15434,2705,2466,398,1830,477,8115,6523,23548,318
5350269.01,5056,4924,10188,11078,20376,46489,11771,2.4,43357,220161,22222,60335,59341,27473,13187,82.7,74.6,17.3,45303,30240,33,27.4,62275,23653,13373,5489,18663,4591,6687,4491,399,11477,1198,898,898,29341,13221,87019,0,51442,48317,8146,24610,22010,23224,7972,693,35467,31834,54.3,10.6,44695,48081,2483,32731,39729,27314,1697,10180,12275,1796,4092,200,5589,9980,10978,7784,2495,1796,5689,22355,14671,15269,200
5350269.02,2569,2574,9533,11089,11868,47860,19261,2.8,62385,104412,15152,62406,56522,26087,13043,94.4,68.5,5.6,102144,52992,9,8.2,74664,5950,5364,18199,3257,3065,958,3065,1724,2299,2299,2299,383,55556,93478,7065,0,77049,22951,1818,13091,15273,38182,17818,727,62319,22826,61.6,7.6,71239,19469,2655,46460,41150,12389,1152,13244,27255,5758,11516,1152,17850,19578,3839,1919,0,1152,384,7678,5950,28791,384
5350270.01,4980,5152,10643,12048,13956,49197,14257,2.5,48918,175676,21698,57789,56944,29167,13889,88.3,72.5,11.6,58970,38485,18.2,14.9,68520,14201,6852,7746,9235,7150,2185,4270,298,4667,2085,596,1092,52830,35897,64359,0,59536,40464,6457,20593,21640,26003,8901,1396,44677,28098,59.6,9.2,60927,33333,1545,37086,42163,20751,1690,13221,22863,5865,6064,696,14513,14115,6064,3877,994,2187,1193,13917,7058,18191,199
5350270.02,4264,4093,12896,13716,11489,47714,14302,2.6,51825,153803,24924,62644,56061,30303,13636,88.8,70.1,11.3,62480,37280,17,13.2,67857,9167,4052,6436,12634,3218,2741,2265,238,1907,1549,596,834,61025,26087,74224,0,61250,39063,5896,25624,21315,24036,9070,680,48526,19955,60.2,8.3,65097,27424,2770,38227,46537,15235,2738,19167,31667,4167,10595,1667,14048,16786,9524,4286,1190,1071,1310,7024,4762,14048,357
5350271.01,2429,2413,9691,11546,10515,48247,20206,2.7,58252,118333,18129,61017,66667,25926,7407,90.6,75.2,9.6,84608,38528,8.2,6.8,73922,5882,6667,10196,7255,5882,0,2941,392,588,3137,1373,1765,58431,81111,18889,0,75281,24719,5861,21978,20147,31868,9890,1465,51460,20803,60.6,5.5,60833,24583,6250,41250,43333,15833,980,17647,27647,8431,10392,1373,11176,13333,5882,980,0,1569,1961,4510,6667,22157,0
5350271.02,4815,4801,12461,14434,11423,46729,15161,2.8,53273,148434,20330,66337,55882,30882,13235,87.8,72.3,12.1,58240,31552,22.9,17.7,67343,12273,13966,5330,7356,6930,2665,4904,0,5650,959,0,959,49680,27507,72206,0,63977,36023,9336,22407,21369,24896,8714,1452,43776,24274,52.8,12.4,57825,30504,4775,44828,37666,16976,2028,16862,27641,4482,7577,1921,8858,10139,6297,5336,0,2134,640,13234,13020,15155,427
5350272.01,5987,5884,11696,13701,13868,49875,10860,2.6,45306,203153,23507,66667,60185,25000,13889,82.9,75.8,17.1,46811,30112,28.3,22.6,60675,20000,13333,4388,17890,15865,4135,4810,1097,4473,1688,338,1857,27764,13519,86481,0,61720,38280,12275,25599,21257,21257,4940,749,30045,31988,56.3,9.8,44551,43786,2868,33843,42447,23709,1688,10042,12152,3207,3038,338,9620,8861,11139,5063,2700,1857,2194,11477,12827,24219,0
5350272.02,4705,4776,8608,11158,12009,47609,20616,2.6,52217,150708,18863,61165,57895,31579,10526,86.7,74.7,13.3,64544,36011,13.4,10.6,73913,9756,14210,14740,6469,4560,1485,6575,636,2227,1379,212,1485,43478,85634,14085,0,67887,31831,5068,17934,19688,32943,10526,585,44250,32943,57.2,8.3,57773,33643,2552,41067,35267,23666,1168,7749,16561,3715,6369,2229,9766,13163,5308,4034,0,4459,1380,10085,14862,25372,0
5350273.01,4014,4035,9091,14944,12080,44956,19054,3.2,60444,115441,13858,65464,51613,32258,19355,96.5,63.4,3.4,114773,50304,12.2,10.4,69041,12176,7902,23834,5052,1036,389,777,259,5699,1166,1166,0,52202,81377,18219,0,71545,28049,4404,15544,11658,31865,18135,2332,50518,29534,56.9,6.5,70395,21711,3947,46382,41447,12171,518,11399,16451,2850,5311,1425,19041,12047,3497,907,648,1036,2073,10622,8420,27720,0
5350273.02,4160,4318,8413,13582,12380,44712,21274,2.8,60393,112791,15603,59804,50000,40909,9091,95.1,64,5.1,90581,52736,18.7,15.4,67264,17204,6093,28554,2031,1075,358,956,358,6810,6571,717,0,45520,70508,29153,0,63140,36519,2153,13397,12201,34689,18660,3349,44258,39952,53.6,10.3,64013,22611,7325,42357,46178,10828,0,10885,14593,3110,3469,478,15191,9211,1316,1316,0,1077,2153,12440,6699,37919,0
5350274.01,4900,4871,10102,13776,14286,47653,14286,2.8,56112,134858,18889,63677,60377,28302,11321,96.2,68.6,3.8,73114,39808,16.7,14.6,66286,14938,6023,14849,5504,5607,3842,1142,623,7477,4984,727,1246,46210,50432,49568,0,66282,33718,4128,16510,16510,29456,15572,2439,50657,28330,61.4,8.4,62181,31555,2784,36891,48260,14849,1350,8100,19211,4465,7580,1142,17757,9553,4154,4777,1973,831,312,13084,7269,27518,519
5350274.02,4738,4734,7700,10759,12553,50633,18671,2.4,57609,124528,20228,56332,69565,23913,4348,96.4,63.3,3.6,77210,50944,15.6,12.9,72274,14642,4673,21080,2388,831,1869,1246,312,5296,5400,727,415,53790,68262,31486,0,64304,35696,2647,15123,15123,33459,14934,3025,52363,30246,53.4,8,59686,31937,2880,40470,49869,9399,415,10696,21599,3531,6854,1454,19107,10800,1558,3738,519,1142,208,11319,5192,30010,0
5350275,5836,5782,8312,14824,10026,43530,23393,2.5,58847,117698,17936,55439,56757,29730,10811,96.7,65.5,3.3,101792,50528,7.9,6.1,71949,10339,1441,3390,932,7712,1949,0,169,1864,1186,254,169,80763,64435,35356,0,72956,26834,2321,13393,10893,42679,18393,1786,64884,19073,56.1,6.3,56785,30271,7933,47699,44979,7531,1101,20406,42337,4742,11346,2032,17358,19136,1101,3472,169,508,762,4064,1524,12955,508
5350276.01,6446,6389,12490,12335,9310,47246,18464,2.4,54075,137589,22547,61624,56863,33333,7843,95.1,69.9,4.8,72090,35712,12.3,10.8,69569,8466,2474,3432,2713,7023,1596,798,399,1197,559,479,0,78212,65000,35000,0,69231,30769,5063,12025,17089,36234,13133,1108,62342,20411,60.8,5.3,63862,25048,5354,48084,42912,9195,399,18051,19010,2396,9026,1118,35304,14696,2716,2316,0,1518,1038,6869,2875,12460,160
5350276.02,6870,6720,13537,15066,9098,48326,13901,2.9,62269,104889,17604,65653,57143,30612,12245,97.1,72.3,3,117504,43520,7.5,7.4,68030,8401,2379,7286,818,7584,1264,595,446,1413,1190,297,0,75836,78306,21694,0,78099,21694,3295,11891,9742,37536,19054,2436,63271,21664,62.7,4.8,64716,23580,6713,45704,46735,7388,149,23810,19345,3571,10268,595,35789,8482,893,1563,0,1116,1563,7068,2827,17932,149
5350277,4084,4294,15422,17993,13464,41738,11506,3.3,57581,132493,12548,70115,57143,33333,14286,97.6,63.8,2.4,117760,35136,10.2,8.8,58580,12781,1302,2959,828,9112,1065,0,237,592,237,0,0,82959,73333,26250,0,70464,29958,3927,19634,12565,33246,13089,2618,52356,24346,61.8,5.8,64174,21807,7165,55763,39875,5607,0,23787,15266,2367,14911,592,43432,5680,828,1538,0,1657,1420,6864,1775,12899,0
5350278,7734,7770,16160,13833,14092,39819,16031,2.9,54545,139198,19224,66129,62069,25862,13793,92.7,62.1,7.2,65042,26496,15.7,13.6,64378,11149,1088,1700,2515,8158,2243,204,680,952,476,204,340,80897,47348,52462,0,64326,35674,5241,18839,15439,32011,11898,1416,50708,25212,56.9,7.8,55000,35000,5179,49733,41176,9091,272,20054,8498,1292,10197,612,44120,13732,2447,2991,0,1903,1428,5574,1088,11965,0
5350279.01,4028,4179,8561,10174,11538,47891,21712,2.6,55043,135340,17042,56989,67391,23913,8696,86.9,72.6,13,65408,31552,11.3,10.6,72660,12315,1847,4557,4557,9113,4680,246,1724,0,369,246,0,68842,69231,31090,0,72115,28205,9070,27438,21995,19728,7710,1814,44570,19005,56.1,8.2,50135,39353,5930,45553,45553,9164,370,7398,8508,1110,2959,863,9371,54131,4562,7028,0,1110,0,1233,2713,18989,247
5350279.02,6503,6823,8462,10769,11231,43077,26308,2.7,47298,173783,20134,63673,62963,28395,8642,82.3,72.2,17.8,54861,27744,15.8,12.2,69707,12823,8684,8083,10146,7911,4815,430,6191,0,172,0,2752,48237,59811,40189,0,69740,30496,24719,29053,17657,11236,2889,482,34029,12199,54.6,8.5,50943,34906,4906,38491,46981,14717,1033,5594,6885,2496,2582,0,4045,38210,7057,7401,1463,430,775,1721,9380,23838,0
5350280,7333,7364,11869,10846,13915,48636,14870,2.5,48642,173942,24116,61484,60976,29268,9756,82,71.5,17.9,46921,27456,24.2,18.3,62869,19218,9197,686,16472,8030,14894,686,1922,824,0,0,892,45230,34247,65753,0,60274,39726,19054,29265,20922,15567,2615,374,32254,19427,58.7,8.7,47162,44105,4076,36099,43959,19796,960,8436,9671,2812,4047,549,5213,32785,13169,14952,1920,343,1715,3224,8642,11934,206
5350281.01,6484,6475,12722,13338,14418,49190,10332,2.9,47433,189579,21157,68936,58140,29457,12403,81.6,76.2,18.4,49847,23232,24,19.3,64942,13127,6795,5869,26100,8571,6564,0,11274,695,772,0,2085,27027,48998,50780,0,62277,37723,23724,27310,19586,12828,1931,276,33747,15152,57.5,10.1,48136,42712,3220,30678,44407,25085,463,7645,5328,1236,2085,0,1931,22394,14131,6641,4942,0,7027,1081,7104,29344,0
5350281.02,3940,3948,14594,15609,14721,45812,9391,3,40523,249194,23077,70085,46809,30851,21277,78.6,71.4,21.4,52352,28544,26.9,21,55387,20913,2028,507,47655,2788,9379,0,5703,634,0,253,2408,26109,39394,60606,0,53409,46212,27711,28434,23133,6024,1687,0,35422,8434,53.4,12.9,50974,39286,2922,28896,45130,25974,888,11294,11421,3299,2919,254,3807,17893,29695,12817,5076,508,7107,1142,3934,9391,254
5350282,4480,4406,9598,11049,13281,50781,15625,2.8,55150,137589,17151,62981,68085,25532,6383,87.4,78.7,12.5,71993,35776,9.3,7.9,74971,8343,4566,1484,8790,2740,3767,685,3995,0,342,0,685,72374,86943,13376,0,72293,28025,16896,30255,22593,14735,2554,786,45383,7662,63,5.2,69432,23144,1965,46507,36900,16376,1257,10400,17257,4571,3314,343,5029,51543,6400,5257,457,0,1486,2514,5143,8800,0
5350283.01,5399,5333,12500,13611,13056,43981,16667,2.7,42792,221925,20800,65882,54918,27869,17213,77.7,68,22.4,44864,22229,28.5,21.5,62795,15945,5807,1181,35630,6201,10728,689,2067,295,0,0,2165,33169,29199,71059,0,61917,38083,19165,32448,24099,8729,1518,0,36812,11765,50.9,9.4,49389,41809,3178,36186,43765,20049,394,7579,5807,1870,689,197,1969,29429,18996,11024,4528,394,9843,2264,6988,10236,0
5350283.02,4542,4618,13326,14317,12225,38987,21256,2.7,41953,227541,19668,58503,53211,27523,18349,74.1,62.2,25.8,39744,20373,35.3,27.4,69412,6203,2674,1604,35187,856,4064,214,3316,321,0,0,214,48342,48246,52047,0,72303,27405,21635,31971,21875,11058,1683,0,38369,7914,44.4,8.9,57929,33333,1618,39355,42903,17419,749,7701,8128,2032,2995,0,2139,40642,12406,4813,4813,0,17219,1925,3957,7273,0
5350284,6840,6914,10380,10892,12427,46784,19444,2.8,53460,142718,19331,63103,62791,26744,9302,83.6,72.4,16.3,56896,28096,16.3,12.5,63162,19894,13238,681,5976,14902,7413,530,2269,151,151,303,303,53328,51812,48401,0,72921,27079,15668,29155,17847,21526,2861,0,32698,22343,58.1,7.7,52139,38352,4120,41456,37342,21044,227,6732,5673,1210,2496,227,2572,45461,5598,8245,454,0,681,1815,13389,18457,151
5350285,3271,3283,9021,10550,13456,45413,21407,2.7,51943,154762,16850,60563,66667,23810,9524,83.7,70.8,16.2,58765,27968,12.9,10.3,71429,12135,3379,2919,12135,6605,4762,0,3687,0,1075,0,1075,62673,64876,35124,0,69421,30579,17836,26023,21930,19883,2339,0,46784,9064,53.4,8.8,59649,28772,4211,42105,42456,16140,0,4615,7385,2615,2308,308,2000,53385,9692,5692,0,0,2000,1385,4308,15538,0
5350286,4273,3685,7953,12164,17661,45614,16608,2.5,44370,211480,19036,50000,50685,24658,23288,84.7,72.8,15.3,54656,31680,23.2,19.3,68231,14922,6859,4693,16486,6739,5776,361,2527,1203,722,722,1805,50421,57357,42643,0,66265,33735,12528,27069,21924,20358,5593,1119,42953,17450,55.5,7.2,48303,38903,7833,39426,48303,12794,722,9988,7822,2286,2407,241,3610,41757,8183,7461,2647,241,6017,3851,7581,17329,0
5350287.02,6732,6874,13447,12853,10178,43908,19391,2.8,48285,169482,22719,64602,60215,25806,13978,84.3,67.9,15.7,52114,28736,20.4,17.5,50985,27738,1735,631,7334,36987,1893,0,1183,631,710,0,0,46057,32739,67038,0,61024,38976,6801,22257,16847,29830,6801,1236,27357,43586,60.5,9.3,34813,49734,10302,34991,48490,16519,709,10717,7565,2443,3546,709,18597,13633,5831,3073,1024,158,1182,5674,2522,41056,158
5350287.03,3432,3723,14410,20524,13828,41630,9607,2.6,30077,398089,23352,63014,39326,29213,31461,74.8,65.3,25.1,40320,22336,40.5,31.8,63189,8495,1639,1639,40984,6259,4918,1937,1639,2086,1490,298,2832,31595,34866,65517,0,72137,27863,17284,25617,22531,17593,4321,926,37963,19136,46,15.3,34783,54348,8261,35498,52814,11255,596,13264,10581,2832,3130,0,10879,11028,15201,8048,4173,298,18629,8048,2235,13413,0
5350287.04,4474,3719,13087,11521,11074,45749,19016,2.2,44613,196904,23940,60645,69565,26087,8696,88.5,70.2,11.5,49024,25552,17.6,14.9,62694,13161,2484,3520,5797,16460,2070,207,725,0,932,0,1449,64182,48905,51095,0,59854,40146,3383,17970,18393,30021,10359,1480,47246,31356,62.1,6.2,45012,43619,6729,34339,52436,13457,518,12332,15130,1347,11813,1347,36269,12746,5285,3212,725,1762,1658,4041,3212,23005,0
5350288,9970,8441,11986,11184,13089,52207,11434,2.5,52119,156098,20633,60775,66364,27273,6364,91.6,77.2,8.3,60530,35627,14.4,12.3,62771,18539,2266,3122,4431,26133,1913,604,1259,755,906,252,856,54230,50187,49813,0,68875,31125,4340,19915,19660,34043,8255,1191,44048,31548,67.5,5.1,48023,43973,3664,41369,45612,13018,957,12387,10121,2467,6798,1360,22306,16415,3273,3474,957,2064,1460,4683,3122,34038,352
5350289,4713,4532,9236,10403,13376,48514,18471,2.7,53284,147209,17241,58738,68333,25000,8333,84.5,74.1,15.5,58016,29675,14.5,12.8,66517,17581,1904,1904,6719,14894,4591,448,2464,1008,0,224,448,63606,58772,41228,0,71053,28947,15650,25000,20935,21138,3049,0,39634,19715,56.7,7.1,52857,35952,4286,38902,45346,15752,897,8184,7848,1570,1570,785,4596,50561,3812,6390,1570,0,785,4260,2242,20628,0
5350290.01,3620,3487,11326,11050,13260,50967,13674,2.5,46446,191103,26154,58779,61765,26471,13235,80.1,72.9,20.1,44599,27968,25.8,19.8,56858,24634,8788,1065,19041,18375,10519,266,4128,399,266,0,533,33023,23711,76289,0,60345,39310,18913,28369,27423,12057,1182,0,28132,24350,61,7.8,42895,46649,3217,36193,41823,22252,2397,7457,8522,1997,2130,533,5992,24101,17443,8655,1065,0,1864,2663,10253,26232,0
5350290.02,1534,1204,11401,7818,19218,52117,10098,2.1,47909,183333,22628,54237,66667,28571,4762,89.1,84.2,11,53018,38443,20.3,15.7,67638,15743,3499,2332,11079,20117,9329,583,2915,583,875,583,1749,44315,63087,36242,0,61224,39456,13551,21495,25234,21028,6075,0,43721,21395,69.4,8.7,52850,38342,3109,32124,44041,22798,583,8455,9038,4373,4665,583,5831,35860,7580,12828,2041,0,1166,2915,5539,28571,0
5350291.02,4947,4833,10909,9798,11313,46970,20808,2.6,50780,155792,22494,58911,63077,29231,9231,78.7,68.9,21.3,48549,18928,20.3,17.1,70073,13139,3441,1147,18457,6465,8133,938,8551,1043,209,0,626,48488,54286,45455,0,71169,28571,22593,29862,20629,13360,2750,393,33399,13949,50.6,6.8,55471,36132,2036,34097,41730,24427,939,6576,7203,2192,2296,418,2505,39770,10438,8142,1879,209,2192,4802,3236,18058,0
5350291.03,2302,2274,8696,10870,13043,48261,19565,2.5,49747,167005,21106,55914,67568,24324,8108,80.4,70.1,19.9,51648,31296,18.9,15,66307,19654,1940,2802,8621,14009,7112,2371,2802,2155,0,0,862,56681,44624,55376,0,65054,34409,13934,30328,22541,10656,2869,820,39506,16049,50,8.6,51042,36458,5208,37500,40104,22917,1728,8639,10799,3456,1512,1080,3888,42765,7127,7775,648,864,648,7127,2376,20518,0
5350291.04,1585,1577,9779,10410,12934,49842,17035,2.4,46667,187302,24476,61667,60714,25000,14286,81,72.5,18.8,49792,32992,18.9,14.8,64198,21605,3086,2160,9259,22840,9568,926,617,1235,0,0,1235,46605,42969,57813,0,60465,39535,23464,25140,19553,17877,3352,1117,30726,20670,54.3,9,50000,38194,4167,37063,43357,19580,926,7099,9259,1852,1852,0,2469,34259,9877,12654,0,926,0,7407,4012,26235,0
5350292,6721,6942,12649,12872,12723,50372,11310,3,47706,184808,23468,67213,53509,28947,18421,82.3,77,17.6,56594,24064,19.4,17.2,62043,17524,3729,3803,22893,12826,14019,298,9620,1268,1268,149,2013,25205,54788,45434,0,62500,37723,23584,30567,19104,12516,2240,264,31225,14756,58.5,9,52648,36918,3692,35152,40128,24719,970,5970,6642,2313,2090,224,1866,22836,15000,15224,3731,299,2313,1791,5149,29478,0
5350293,6242,4304,11779,12179,12580,49279,14263,3,53696,144203,21053,66045,59091,28409,13636,85.5,76.7,14.4,68416,34918,13,10.3,70324,8129,8675,2603,12855,5757,10331,394,8360,710,237,315,1735,45189,79673,20327,0,66276,33958,16571,24207,22046,18732,3602,0,43804,15274,60.4,6.7,62126,28073,1661,39867,40864,19269,789,10024,7893,1421,2605,395,5525,32991,9077,9945,3236,0,1342,2447,8524,19653,158
5350294.01,4386,4343,12885,12201,12999,46294,15621,2.8,49930,165449,24157,59649,52500,31250,17500,81.2,69.9,18.8,54240,31424,20.8,15.1,63596,15982,1663,998,23392,998,18293,1109,3548,3437,0,0,1996,44013,41801,58199,0,70096,29904,24681,30000,18936,9787,1915,0,35957,9362,55.5,8.9,58824,32225,767,34271,43734,22251,999,9989,6992,1665,1776,666,3996,31853,14983,19645,4218,555,2553,7658,3219,6215,0
5350294.02,4504,4663,9212,13208,12986,46615,18091,3.2,48047,181301,19799,64205,55844,27273,18182,79.5,71.5,20.5,64512,27840,13.8,11.3,70674,12360,5618,4831,13708,9213,17865,449,11348,0,0,0,2584,31685,82721,17279,0,74632,25368,23992,32909,21019,10828,1699,0,29724,13376,52.5,8.9,60000,28831,2338,35751,43264,20725,337,6067,5056,899,1236,225,1910,32360,10674,14944,2022,0,2247,562,6180,28427,225
5350295,5180,5336,10521,11004,12645,50097,15637,2.7,50629,161625,21759,63679,68354,24051,7595,82.4,74.3,17.6,52978,30123,17.1,14.5,64653,19505,6330,3165,8210,18299,7319,593,9100,1583,198,396,692,39070,42895,57105,0,68602,31398,21303,25176,20070,16197,3169,352,30986,22535,58.5,6.3,49798,38911,1613,34809,45473,19316,890,7319,8309,1682,2671,297,6627,28981,7319,8803,692,198,0,4055,6726,35905,0
5350296,64,131,8333,16667,8333,33333,16667,3,60000,150000,20000,66667,0,0,0,0,0,0,0,0,0,0,92857,14286,0,0,14286,0,0,0,0,0,0,0,0,85714,125000,0,0,0,0,0,22222,22222,22222,0,0,66667,0,57.1,0,50000,25000,0,37500,50000,25000,0,0,20000,0,0,0,13333,73333,0,0,0,0,0,0,0,0,0
5350297.01,7313,6866,9501,9023,12645,48804,19822,2.4,50474,155243,24682,55229,67857,23810,8333,88.2,73,11.8,55899,23680,19.5,16.8,68064,18868,4330,3352,3701,15363,4050,1606,908,2025,3282,349,838,59288,45620,54380,0,58416,41419,4412,19240,18873,30025,10172,1716,42157,34191,60,8.1,47170,45138,3048,32801,50508,16691,489,7687,6709,1398,4123,280,27044,21244,2935,4053,629,2096,769,9713,4752,24179,0
5350297.02,6502,6171,11154,10385,12615,46846,19000,2.5,56107,128969,20293,57770,66038,26415,7547,90.7,73,9.4,62720,27584,15.8,13.5,69900,11624,2696,2928,1849,11094,1002,1464,1310,1387,1310,385,539,72881,60078,39726,0,61100,38900,3730,19082,20230,29268,11478,1865,53515,23816,58.2,7.7,58997,32872,3114,41696,43772,14360,308,14704,9238,1232,4696,616,30947,22864,2079,1925,154,2925,1925,8776,2848,18014,308
5350298,4661,4482,13090,14700,11373,50107,10730,3,58681,121560,18506,69378,69231,20513,10256,96.8,61.8,3.2,86187,30912,11.1,9.2,62737,14000,737,2211,2947,12421,1158,211,421,2105,1053,0,421,75158,51118,48882,0,69649,30671,3429,14667,16190,32762,15810,2095,55725,26145,65.7,5.9,58028,32339,4587,44037,44037,12156,316,21053,9158,3684,7158,421,39895,9579,2526,1789,316,2632,2211,7684,1895,16947,211
