S_CTUID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
5350011,17549,8645,2535,1396,41099,52036,2934,1.5,38980,297368,9222,15385,78571,16667,2381,98.8,86.5,1.2,68348,57463,14.7,14.5,83209,14122,8211,12690,3216,1780,1837,1349,1206,2182,1780,603,431,63508,42725,57275,0,57746,42296,1411,8113,9735,50265,19506,1799,72724,17749,84.7,4.2,17765,20771,58805,70586,24017,5397,1378,15935,33592,8441,11456,2038,14757,16451,2555,2986,574,1263,1206,6115,8556,19294,574
5350012.01,11658,5911,5489,3516,42496,44983,3431,1.7,39558,288953,9430,23786,60563,26761,11268,97,89.5,3,57547,48144,21.7,21.4,69733,23302,8040,17842,8598,2279,2709,2923,1376,3052,1677,860,903,47635,35029,64971,0,50292,49781,1977,12093,14070,44651,16337,1512,64360,21512,78,6.6,22800,29801,43481,51060,40013,8992,2150,14187,26096,6922,8856,1548,10447,14058,5030,4557,1591,1548,3052,7309,8813,25709,516
5350012.03,8865,5892,4735,2029,40699,49436,3213,1.7,42985,251314,9176,24857,79412,20588,0,98.1,91.7,1.9,70707,57952,13.9,14.9,74042,21269,15371,16857,2971,2229,2743,3257,743,1943,2343,629,857,47257,40379,59621,0,59259,40646,883,8241,11921,48712,19279,1619,70250,20692,81.9,4.4,19935,22934,54862,61507,31686,6807,915,12693,25100,6918,9605,1772,10463,12293,3431,4288,858,1601,1144,8290,16295,24986,286
5350012.04,4899,4772,4898,1633,28163,56429,8878,1.6,46602,207639,15927,22596,82609,13043,0,97.3,86,2.7,67925,57440,13.6,14.4,77868,17259,14619,12589,3858,1117,2234,2234,609,1117,508,1117,711,57970,47563,52437,0,61655,38345,1465,8522,14248,43941,20107,2663,64362,25665,78.5,5.7,21827,30495,45511,60278,32303,7419,1220,12907,32012,7520,10061,2337,13110,11687,3252,3963,610,1118,1220,4573,14837,17073,0
5350013.01,6290,4739,4134,1908,31717,51987,10413,1.5,43167,236293,15836,18474,80645,16129,6452,96.5,87.2,3.5,67642,51072,15.4,14.5,79289,15415,11453,12006,4897,3160,1659,2686,1580,1422,1264,1659,1027,54739,33946,65931,0,64735,35265,1170,9149,10213,46702,20745,2234,71170,18723,77.8,4.3,16279,25465,55349,69884,25000,5233,1185,14692,32622,8847,10506,2528,12954,13349,3476,2765,553,869,2528,6319,12796,21485,395
5350013.02,8126,5862,5908,2769,24185,53662,13538,1.7,52283,160127,17753,27895,72222,25000,2778,96.9,81.9,3.1,76416,57623,14,12.9,76507,17589,14543,17278,3294,1181,1554,2548,684,2486,2175,932,311,51274,50053,50053,0,63597,36403,691,8989,10717,42351,22990,2506,63385,26857,71.7,4.8,25895,22632,48737,64211,28632,7053,932,11304,28758,6894,8882,2671,11429,11491,3665,2671,559,994,745,7578,15217,23478,0
5350014,1242,644,4839,4032,22581,58065,9677,1.7,53017,159350,19091,29091,85714,14286,0,99.3,85.1,1.1,90176,63616,17.6,15.5,77215,16034,9705,14768,3376,2954,1266,4219,1688,2110,3376,2532,844,52743,50735,49265,0,62963,36296,1136,11932,6250,51136,17045,2273,64972,22034,74.4,3.5,17778,17778,63704,76471,18382,4412,844,14768,27426,9705,9283,1688,9705,14346,2532,844,1266,2954,1266,6751,9283,26582,844
5350015,3663,3411,4502,2865,20737,56889,15007,1.6,46465,204969,16712,18065,63636,27273,4545,96.6,79,3.4,74547,60928,13.5,12.9,85616,9726,6027,9178,7397,1370,822,1233,548,1644,1233,959,411,65890,56195,43584,0,71840,27938,1898,11765,11954,42694,18027,3226,68939,17424,71.1,6.6,13063,27027,56306,71396,22748,5631,1644,16986,39178,6986,12466,2055,14932,13562,5068,2740,411,0,2603,5890,7260,15479,274
5350016,10101,6063,5099,3069,23911,61535,6535,1.6,44421,226905,15414,18473,61702,25532,14894,96.9,88.9,3,67212,55552,15.6,14.4,83436,10185,6279,9213,7823,2316,1853,1081,1184,1595,1184,721,978,64025,51375,48625,0,63401,36680,2604,10547,14388,42839,17318,2279,72266,14648,80.4,4.2,23240,29220,44587,64318,29394,6288,1441,18374,38497,8801,13073,3191,14153,15800,4375,3139,926,978,2985,4786,6639,16366,463
5350017,7906,6883,6772,5380,16076,58291,13481,1.7,40028,258188,22674,30576,69149,23404,8511,92.1,81.2,7.9,54380,41125,21.2,18.7,82667,6857,5083,6226,13405,3304,2414,1207,699,635,826,762,1017,62198,38585,61415,0,65194,34914,4316,15060,19100,34803,13682,1561,65809,14706,67.1,6.8,25349,28953,40581,57907,34419,7791,2349,17206,40000,10349,12635,3556,13270,14159,7873,4000,1333,254,4127,4127,5270,13651,317
5350018,2456,2088,10772,4472,12602,64837,6911,1.9,49057,185096,17512,35644,52941,35294,5882,95.7,86.8,4.3,73728,47584,13.9,15.2,79916,6067,2929,9205,4812,2510,1464,418,2720,1464,628,1046,0,71757,59109,40891,0,70445,29150,4585,14900,18052,38109,14900,1146,69914,10602,72.6,9.9,36981,35094,20755,53208,40377,7170,2510,22176,51674,10251,14017,1046,12552,11506,4393,2510,418,628,418,5021,3975,16946,418
5350019,3258,3127,10445,7220,12135,54224,15822,2.2,46154,197287,21523,55462,64286,28571,9524,89.9,83.7,10.2,53824,18080,24.9,22.1,76260,8780,1789,16585,12358,2276,1138,0,3577,488,813,0,1951,57236,49466,50178,0,72401,27599,13547,20936,21675,26108,9852,739,54680,10591,62.9,7.5,33876,40717,18893,41830,45752,11765,3571,19643,37175,9578,8766,2435,10227,12825,8442,2435,325,325,3409,974,2273,24351,812
5350020,2390,2352,12134,11088,6276,53556,16946,2.4,64599,89200,26087,54472,64706,23529,5882,96.8,78.8,3.2,113493,59648,5.6,4.6,76653,3512,4752,7025,1446,1033,620,826,620,620,0,620,1240,78719,85437,14078,0,78744,20773,1799,11151,15468,38849,20504,2878,68345,18345,63.8,3.8,59716,25592,8531,48585,43396,8019,1656,20704,57971,10352,15942,2070,10766,15528,2484,2070,621,0,1242,4141,5590,10766,414
5350021,5199,5081,9327,8269,10481,56154,15769,2,51168,155435,29909,45778,75556,20000,4444,95.5,72.7,4.5,64875,38309,13.5,11.8,76089,7744,1452,2227,2130,1742,1646,387,1355,387,774,194,194,85963,43289,56711,0,65217,34972,5000,17031,19219,32031,12656,2500,63125,14844,68.1,7,46979,31384,15789,41910,44444,13255,3195,21878,62149,12875,19458,5034,16844,12197,2711,2711,0,871,484,3388,2033,7938,1065
5350022,3883,3767,13144,13789,9407,52448,11211,2.6,60905,109019,23140,63441,59375,34375,3125,96.1,83,3.8,100659,41472,7.2,6.9,69652,4726,3980,1617,746,1493,622,249,0,0,498,373,0,89677,74916,25418,0,75251,24749,2477,13739,16441,39189,18468,1802,70787,13258,68.1,5.5,51791,24518,13774,46832,44353,8540,2989,26401,68120,11083,18057,5355,14819,15318,1370,2117,0,0,872,2366,4981,4732,872
5350023,3208,3340,11371,12617,10748,50779,14642,2.5,60491,110313,21429,59236,65217,30435,8696,96.5,80,3.4,103936,43947,6.9,5.6,77011,3941,2299,1806,1314,0,1149,0,1314,0,493,493,328,90312,76062,23552,0,74806,24806,2029,14783,12174,40870,17391,2899,68786,14451,65.4,6.9,54610,28014,9220,39576,50177,9894,1803,29508,67213,11311,16557,3934,15082,11967,1311,2623,0,0,0,2295,3279,4098,0
5350024,6887,6590,13353,10087,9797,54862,11974,2.3,57079,124333,26360,55556,63492,30159,7937,95.1,79.4,4.9,79104,38485,9.9,8.5,73216,5666,3311,3091,1913,809,809,589,515,294,589,809,1325,84842,59191,40809,0,70389,29780,3558,15583,17669,37791,13006,1718,67647,13235,70.7,4.9,48000,32000,13185,40356,50148,9644,2725,26730,61340,12077,16274,6922,13770,13476,3166,2062,221,884,663,1767,3756,6333,368
5350025,3456,3277,11867,8249,10420,59624,9696,2.1,52850,149673,24542,48684,70270,24324,2703,92.3,83.4,7.7,59584,29696,16.6,15,75852,5333,3107,4734,5325,1479,1923,296,1331,0,0,296,0,80178,52351,47335,0,69279,30408,6150,18223,20501,33485,10934,456,65831,9795,67.5,8,46440,39628,9598,37346,50926,11111,4148,27407,57630,12889,17630,2222,15556,12296,4000,3111,296,0,1037,741,3111,9185,444
5350026,6486,6394,13416,8173,11951,57286,9098,2.4,53414,150088,20724,55755,61333,29333,8000,91,84.2,9,64333,29184,19.8,17.9,74652,5719,7728,12056,6105,2628,1777,541,1005,618,464,309,155,63833,59184,40816,0,68529,31471,10432,18345,19544,31055,11271,719,60432,10552,66.1,6.6,35453,41971,16534,41176,45946,13037,2705,22488,44745,12519,14683,2241,12287,11669,4096,4173,1314,232,1932,3091,7960,18315,232
5350027,4390,4459,12187,8200,12870,53189,13667,2.5,51967,156136,19774,55676,61224,30612,10204,89.9,81.3,10.1,63437,29312,19.2,17.4,73672,7737,4965,25289,3926,1848,924,462,2194,462,346,462,0,56928,61207,39080,0,69075,31503,18000,16545,18364,25273,11818,1273,54809,10708,63,6.9,34615,40144,18990,42548,45433,12019,2771,21594,36028,9122,11201,2771,9931,10970,3349,1848,346,462,693,1848,5427,31293,0
5350028.01,1387,988,11191,4693,12996,64621,6498,2,56303,134328,24762,41538,70000,20000,0,97.3,90.5,3.1,78950,55936,8.9,7.7,76727,6909,4727,13455,1818,727,1455,0,0,0,0,0,0,73818,66176,33088,0,67910,32090,3980,15920,18408,37313,14428,2985,65174,15423,83,4,37576,37576,18788,53049,37805,9146,2190,20438,49635,9489,13504,1825,11314,14599,3285,2190,730,0,730,1460,5474,17153,1825
5350028.02,6198,5130,10403,5806,13468,57258,12984,2.1,53078,151318,19920,44074,63043,28261,10870,94,86,5.9,70349,46694,15.6,15.8,76545,8552,3641,18713,3387,2371,1693,677,677,0,762,339,339,65707,63717,36283,0,67140,32860,7673,16213,15223,39109,12624,2351,65347,10767,72,5.2,41810,36349,16849,40250,50858,9048,3133,19644,45724,11346,14225,3556,11600,12786,2540,2371,0,169,1693,1863,4318,24640,1016
